QuoteItemID,QuoteID,ProductID,Quantity,UnitPrice,DiscountPercent,DiscountAmount,LineTotal
QI000047,QTN00016,PRD0016,1,699,5,34.95,664.05
QI000048,QTN00016,PRD0011,3,699,10,209.7,1887.3
QI000049,QTN00016,PRD0018,94,1999,15,28185.9,159720.1
QI000050,QTN00017,PRD0001,2,299,10,59.8,538.2
QI000051,QTN00017,PRD0016,1,699,5,34.95,664.05
QI000052,QTN00017,PRD0011,3,699,15,314.55,1782.45
QI000053,QTN00017,PRD0010,1,199,0,0.0,199.0
QI000054,QTN00017,PRD0005,177,1499,0,0.0,265323.0
QI000055,QTN00018,PRD0001,3,299,5,44.85,852.15
QI000056,QTN00018,PRD0005,149,1499,15,33502.65,189848.35
QI000057,QTN00019,PRD0002,1,599,15,89.85,509.15
QI000058,QTN00019,PRD0013,2,899,15,269.7,1528.3
QI000059,QTN00019,PRD0007,3,499,10,149.7,1347.3
QI000060,QTN00019,PRD0010,3,199,0,0.0,597.0
QI000061,QTN00019,PRD0008,833,199,0,0.0,165767.0
QI000062,QTN00020,PRD0019,2,799,10,159.8,1438.2
QI000063,QTN00020,PRD0008,1,199,10,19.9,179.1
QI000064,QTN00020,PRD0003,2,999,5,99.9,1898.1
QI000065,QTN00020,PRD0016,2,699,0,0.0,1398.0
QI000066,QTN00020,PRD0006,637,249,10,15861.3,142751.7
QI000067,QTN00021,PRD0007,1,499,0,0.0,499.0
QI000068,QTN00021,PRD0008,3,199,10,59.7,537.3
QI000069,QTN00021,PRD0012,3,399,5,59.85,1137.15
QI000070,QTN00021,PRD0002,1,599,10,59.9,539.1
QI000071,QTN00021,PRD0011,104,699,5,3634.8,69061.2
QI000072,QTN00022,PRD0013,3,899,0,0.0,2697.0
QI000073,QTN00022,PRD0016,3,699,10,209.7,1887.3
QI000074,QTN00022,PRD0014,2,1199,0,0.0,2398.0
QI000075,QTN00022,PRD0010,1,199,10,19.9,179.1
QI000076,QTN00022,PRD0006,574,249,10,14292.6,128633.4
QI000077,QTN00023,PRD0011,1,699,5,34.95,664.05
QI000078,QTN00023,PRD0013,332,899,0,0.0,298468.0
QI000079,QTN00024,PRD0010,1438,199,15,42924.3,243237.7
QI000080,QTN00025,PRD0018,13,1999,5,1299.35,24687.65
QI000081,QTN00026,PRD0004,3,799,15,359.55,2037.45
QI000082,QTN00026,PRD0007,369,499,5,9206.55,174924.45
QI000083,QTN00027,PRD0016,3,699,15,314.55,1782.45
QI000084,QTN00027,PRD0009,1,149,5,7.45,141.55
QI000085,QTN00027,PRD0020,476,599,10,28512.4,256611.6
QI000086,QTN00028,PRD0014,3,1199,10,359.7,3237.3
QI000087,QTN00028,PRD0009,2,149,15,44.7,253.3
QI000088,QTN00028,PRD0003,1,999,5,49.95,949.05
QI000089,QTN00028,PRD0002,110,599,5,3294.5,62595.5
QI000090,QTN00029,PRD0006,481,249,10,11976.9,107792.1
QI000091,QTN00030,PRD0018,124,1999,5,12393.8,235482.2
QI000092,QTN00031,PRD0016,1,699,0,0.0,699.0
QI000093,QTN00031,PRD0014,1,1199,0,0.0,1199.0
QI000094,QTN00031,PRD0013,1,899,0,0.0,899.0
QI000095,QTN00031,PRD0015,1,999,10,99.9,899.1
QI000096,QTN00031,PRD0004,274,799,0,0.0,218926.0
QI000097,QTN00032,PRD0001,1,299,10,29.9,269.1
QI000098,QTN00032,PRD0013,3,899,15,404.55,2292.45
QI000099,QTN00032,PRD0009,1,149,5,7.45,141.55
QI000100,QTN00032,PRD0018,3,1999,15,899.55,5097.45
QI000101,QTN00032,PRD0006,840,249,5,10458.0,198702.0
QI000102,QTN00033,PRD0004,2,799,5,79.9,1518.1
QI000103,QTN00033,PRD0014,1,1199,0,0.0,1199.0
QI000104,QTN00033,PRD0009,3,149,15,67.05,379.95
QI000105,QTN00033,PRD0012,559,399,10,22304.1,200736.9
QI000106,QTN00034,PRD0012,2,399,15,119.7,678.3
QI000107,QTN00034,PRD0018,3,1999,0,0.0,5997.0
QI000108,QTN00034,PRD0013,3,899,0,0.0,2697.0
QI000109,QTN00034,PRD0006,962,249,0,0.0,239538.0
QI000110,QTN00035,PRD0016,3,699,10,209.7,1887.3
QI000111,QTN00035,PRD0003,1,999,5,49.95,949.05
QI000112,QTN00035,PRD0006,1,249,5,12.45,236.55
QI000113,QTN00035,PRD0002,332,599,15,29830.2,169037.8
QI000114,QTN00036,PRD0010,2,199,5,19.9,378.1
QI000115,QTN00036,PRD0002,74,599,10,4432.6,39893.4
QI000116,QTN00037,PRD0018,1,1999,0,0.0,1999.0
QI000117,QTN00037,PRD0013,2,899,0,0.0,1798.0
QI000118,QTN00037,PRD0006,1,249,0,0.0,249.0
QI000119,QTN00037,PRD0015,195,999,0,0.0,194805.0
QI000120,QTN00038,PRD0005,1,1499,15,224.85,1274.15
QI000121,QTN00038,PRD0013,203,899,15,27374.55,155122.45
QI000122,QTN00039,PRD0009,1,149,15,22.35,126.65
QI000123,QTN00039,PRD0006,1,249,5,12.45,236.55
QI000124,QTN00039,PRD0016,2,699,0,0.0,1398.0
QI000125,QTN00039,PRD0001,432,299,15,19375.2,109792.8
QI000126,QTN00040,PRD0014,2,1199,10,239.8,2158.2
QI000127,QTN00040,PRD0018,2,1999,15,599.7,3398.3
QI000128,QTN00040,PRD0013,215,899,5,9664.25,183620.75
QI000129,QTN00041,PRD0010,2,199,5,19.9,378.1
QI000130,QTN00041,PRD0020,309,599,0,0.0,185091.0
QI000131,QTN00042,PRD0004,3,799,0,0.0,2397.0
QI000132,QTN00042,PRD0005,3,1499,10,449.7,4047.3
QI000133,QTN00042,PRD0012,1,399,0,0.0,399.0
QI000134,QTN00042,PRD0017,3,499,15,224.55,1272.45
QI000135,QTN00042,PRD0008,698,199,5,6945.1,131956.9
QI000136,QTN00043,PRD0006,1125,249,0,0.0,280125.0
QI000137,QTN00044,PRD0002,1,599,0,0.0,599.0
QI000138,QTN00044,PRD0018,16,1999,5,1599.2,30384.8
QI000139,QTN00045,PRD0019,1,799,5,39.95,759.05
QI000140,QTN00045,PRD0006,3,249,0,0.0,747.0
QI000141,QTN00045,PRD0011,3,699,0,0.0,2097.0
QI000142,QTN00045,PRD0004,202,799,15,24209.7,137188.3
QI000143,QTN00046,PRD0017,3,499,10,149.7,1347.3
QI000144,QTN00046,PRD0015,2,999,5,99.9,1898.1
QI000145,QTN00046,PRD0001,3,299,10,89.7,807.3
QI000146,QTN00046,PRD0004,1,799,10,79.9,719.1
QI000147,QTN00046,PRD0020,87,599,15,7816.95,44296.05
QI000148,QTN00047,PRD0002,3,599,10,179.7,1617.3
QI000149,QTN00047,PRD0015,142,999,15,21278.7,120579.3
QI000150,QTN00048,PRD0005,1,1499,0,0.0,1499.0
QI000151,QTN00048,PRD0014,2,1199,0,0.0,2398.0
QI000152,QTN00048,PRD0013,170,899,0,0.0,152830.0
QI000153,QTN00049,PRD0013,1,899,10,89.9,809.1
QI000154,QTN00049,PRD0017,1,499,10,49.9,449.1
QI000155,QTN00049,PRD0012,1,399,5,19.95,379.05
QI000156,QTN00049,PRD0005,2,1499,10,299.8,2698.2
QI000157,QTN00049,PRD0002,220,599,5,6589.0,125191.0
QI000158,QTN00050,PRD0007,3,499,10,149.7,1347.3
QI000159,QTN00050,PRD0003,3,999,0,0.0,2997.0
QI000160,QTN00050,PRD0020,3,599,10,179.7,1617.3
QI000161,QTN00050,PRD0018,45,1999,0,0.0,89955.0
QI000162,QTN00051,PRD0006,2,249,0,0.0,498.0
QI000163,QTN00051,PRD0018,56,1999,0,0.0,111944.0
QI000164,QTN00052,PRD0004,1,799,10,79.9,719.1
QI000165,QTN00052,PRD0011,2,699,5,69.9,1328.1
QI000166,QTN00052,PRD0015,3,999,10,299.7,2697.3
QI000167,QTN00052,PRD0002,1,599,10,59.9,539.1
QI000168,QTN00052,PRD0017,302,499,15,22604.7,128093.3
QI000169,QTN00053,PRD0001,1,299,0,0.0,299.0
QI000170,QTN00053,PRD0018,3,1999,15,899.55,5097.45
QI000171,QTN00053,PRD0019,101,799,10,8069.9,72629.1
QI000172,QTN00054,PRD0013,302,899,0,0.0,271498.0
QI000173,QTN00055,PRD0017,1,499,10,49.9,449.1
QI000174,QTN00055,PRD0009,1,149,15,22.35,126.65
QI000175,QTN00055,PRD0001,19,299,15,852.15,4828.85
QI000176,QTN00056,PRD0008,1,199,0,0.0,199.0
QI000177,QTN00056,PRD0004,1,799,5,39.95,759.05
QI000178,QTN00056,PRD0009,3,149,0,0.0,447.0
QI000179,QTN00056,PRD0013,2,899,5,89.9,1708.1
QI000180,QTN00056,PRD0003,259,999,15,38811.15,219929.85
QI000181,QTN00057,PRD0016,1,699,10,69.9,629.1
QI000182,QTN00057,PRD0011,82,699,10,5731.8,51586.2
QI000183,QTN00058,PRD0002,134,599,10,8026.6,72239.4
QI000184,QTN00059,PRD0018,3,1999,5,299.85,5697.15
QI000185,QTN00059,PRD0010,655,199,0,0.0,130345.0
QI000186,QTN00060,PRD0016,3,699,15,314.55,1782.45
QI000187,QTN00060,PRD0017,3,499,5,74.85,1422.15
QI000188,QTN00060,PRD0014,49,1199,5,2937.55,55813.45
QI000189,QTN00061,PRD0018,1,1999,15,299.85,1699.15
QI000190,QTN00061,PRD0020,497,599,0,0.0,297703.0
QI000191,QTN00062,PRD0013,3,899,10,269.7,2427.3
QI000192,QTN00062,PRD0017,107,499,15,8008.95,45384.05
QI000193,QTN00063,PRD0002,2,599,5,59.9,1138.1
QI000194,QTN00063,PRD0003,208,999,0,0.0,207792.0
QI000195,QTN00064,PRD0014,1,1199,15,179.85,1019.15
QI000196,QTN00064,PRD0016,1,699,5,34.95,664.05
QI000197,QTN00064,PRD0020,2,599,10,119.8,1078.2
QI000198,QTN00064,PRD0002,57,599,10,3414.3,30728.7
QI000199,QTN00065,PRD0020,1,599,0,0.0,599.0
QI000200,QTN00065,PRD0011,137,699,5,4788.15,90974.85
QI000201,QTN00066,PRD0013,2,899,10,179.8,1618.2
QI000202,QTN00066,PRD0011,1,699,10,69.9,629.1
QI000203,QTN00066,PRD0007,2,499,15,149.7,848.3
QI000204,QTN00066,PRD0014,13,1199,10,1558.7,14028.3
QI000205,QTN00067,PRD0006,972,249,0,0.0,242028.0
QI000206,QTN00068,PRD0007,1,499,10,49.9,449.1
QI000207,QTN00068,PRD0015,1,999,0,0.0,999.0
QI000208,QTN00068,PRD0004,326,799,15,39071.1,221402.9
QI000209,QTN00069,PRD0004,3,799,10,239.7,2157.3
QI000210,QTN00069,PRD0005,2,1499,0,0.0,2998.0
QI000211,QTN00069,PRD0018,100,1999,15,29985.0,169915.0
QI000212,QTN00070,PRD0016,1,699,10,69.9,629.1
QI000213,QTN00070,PRD0011,1,699,15,104.85,594.15
QI000214,QTN00070,PRD0019,1,799,5,39.95,759.05
QI000215,QTN00070,PRD0014,2,1199,15,359.7,2038.3
QI000216,QTN00070,PRD0003,296,999,0,0.0,295704.0
QI000217,QTN00071,PRD0009,3,149,10,44.7,402.3
QI000218,QTN00071,PRD0001,3,299,0,0.0,897.0
QI000219,QTN00071,PRD0004,370,799,10,29563.0,266067.0
QI000220,QTN00072,PRD0002,2,599,15,179.7,1018.3
QI000221,QTN00072,PRD0010,2,199,15,59.7,338.3
QI000222,QTN00072,PRD0005,3,1499,10,449.7,4047.3
QI000223,QTN00072,PRD0003,3,999,5,149.85,2847.15
QI000224,QTN00072,PRD0009,1388,149,5,10340.6,196471.4
QI000225,QTN00073,PRD0013,3,899,15,404.55,2292.45
QI000226,QTN00073,PRD0010,3,199,5,29.85,567.15
QI000227,QTN00073,PRD0006,3,249,10,74.7,672.3
QI000228,QTN00073,PRD0018,109,1999,15,32683.65,185207.35
QI000229,QTN00074,PRD0004,1,799,10,79.9,719.1
QI000230,QTN00074,PRD0001,2,299,5,29.9,568.1
QI000231,QTN00074,PRD0015,2,999,10,199.8,1798.2
QI000232,QTN00074,PRD0005,2,1499,15,449.7,2548.3
QI000233,QTN00074,PRD0002,425,599,15,38186.25,216388.75
QI000234,QTN00075,PRD0018,3,1999,15,899.55,5097.45
QI000235,QTN00075,PRD0013,26,899,5,1168.7,22205.3
QI000236,QTN00076,PRD0011,382,699,10,26701.8,240316.2
QI000237,QTN00077,PRD0007,3,499,10,149.7,1347.3
QI000238,QTN00077,PRD0013,1,899,5,44.95,854.05
QI000239,QTN00077,PRD0009,3,149,10,44.7,402.3
QI000240,QTN00077,PRD0020,1,599,5,29.95,569.05
QI000241,QTN00077,PRD0004,77,799,5,3076.15,58446.85
QI000242,QTN00078,PRD0007,165,499,0,0.0,82335.0
QI000243,QTN00079,PRD0006,2,249,0,0.0,498.0
QI000244,QTN00079,PRD0018,120,1999,15,35982.0,203898.0
QI000245,QTN00080,PRD0004,3,799,5,119.85,2277.15
QI000246,QTN00080,PRD0002,3,599,15,269.55,1527.45
QI000247,QTN00080,PRD0008,2,199,15,59.7,338.3
QI000248,QTN00080,PRD0012,427,399,5,8518.65,161854.35
QI000249,QTN00081,PRD0014,3,1199,0,0.0,3597.0
QI000250,QTN00081,PRD0015,244,999,0,0.0,243756.0
QI000251,QTN00082,PRD0008,1,199,5,9.95,189.05
QI000252,QTN00082,PRD0013,3,899,15,404.55,2292.45
QI000253,QTN00082,PRD0020,1,599,5,29.95,569.05
QI000254,QTN00082,PRD0001,78,299,0,0.0,23322.0
QI000255,QTN00083,PRD0017,1,499,15,74.85,424.15
QI000256,QTN00083,PRD0015,3,999,10,299.7,2697.3
QI000257,QTN00083,PRD0006,2,249,15,74.7,423.3
QI000258,QTN00083,PRD0014,125,1199,15,22481.25,127393.75
QI000259,QTN00084,PRD0014,3,1199,15,539.55,3057.45
QI000260,QTN00084,PRD0019,58,799,15,6951.3,39390.7
QI000261,QTN00085,PRD0004,1,799,10,79.9,719.1
QI000262,QTN00085,PRD0013,3,899,15,404.55,2292.45
QI000263,QTN00085,PRD0014,145,1199,5,8692.75,165162.25
QI000264,QTN00086,PRD0006,2,249,0,0.0,498.0
QI000265,QTN00086,PRD0003,3,999,10,299.7,2697.3
QI000266,QTN00086,PRD0016,397,699,5,13875.15,263627.85
QI000267,QTN00087,PRD0015,2,999,10,199.8,1798.2
QI000268,QTN00087,PRD0019,3,799,0,0.0,2397.0
QI000269,QTN00087,PRD0013,248,899,5,11147.6,211804.4
QI000270,QTN00088,PRD0008,1,199,15,29.85,169.15
QI000271,QTN00088,PRD0005,187,1499,5,14015.65,266297.35
QI000272,QTN00089,PRD0012,1,399,15,59.85,339.15
QI000273,QTN00089,PRD0009,492,149,15,10996.2,62311.8
QI000274,QTN00090,PRD0020,3,599,15,269.55,1527.45
QI000275,QTN00090,PRD0008,2,199,0,0.0,398.0
QI000276,QTN00090,PRD0007,180,499,5,4491.0,85329.0
QI000277,QTN00091,PRD0014,2,1199,0,0.0,2398.0
QI000278,QTN00091,PRD0003,3,999,15,449.55,2547.45
QI000279,QTN00091,PRD0013,2,899,0,0.0,1798.0
QI000280,QTN00091,PRD0019,125,799,10,9987.5,89887.5
QI000281,QTN00092,PRD0013,2,899,15,269.7,1528.3
QI000282,QTN00092,PRD0012,3,399,5,59.85,1137.15
QI000283,QTN00092,PRD0001,780,299,15,34983.0,198237.0
QI000284,QTN00093,PRD0020,2,599,15,179.7,1018.3
QI000285,QTN00093,PRD0019,169,799,15,20254.65,114776.35
QI000286,QTN00094,PRD0016,184,699,15,19292.4,109323.6
QI000287,QTN00095,PRD0001,3,299,15,134.55,762.45
QI000288,QTN00095,PRD0010,3,199,5,29.85,567.15
QI000289,QTN00095,PRD0004,351,799,15,42067.35,238381.65
QI000290,QTN00096,PRD0009,3,149,0,0.0,447.0
QI000291,QTN00096,PRD0005,183,1499,15,41147.55,233169.45
QI000292,QTN00097,PRD0010,3,199,0,0.0,597.0
QI000293,QTN00097,PRD0014,1,1199,15,179.85,1019.15
QI000294,QTN00097,PRD0003,1,999,15,149.85,849.15
QI000295,QTN00097,PRD0008,1,199,0,0.0,199.0
QI000296,QTN00097,PRD0005,25,1499,10,3747.5,33727.5
QI000297,QTN00098,PRD0006,2,249,5,24.9,473.1
QI000298,QTN00098,PRD0010,2,199,10,39.8,358.2
QI000299,QTN00098,PRD0008,2,199,15,59.7,338.3
QI000300,QTN00098,PRD0005,180,1499,10,26982.0,242838.0
QI000301,QTN00099,PRD0003,2,999,0,0.0,1998.0
QI000302,QTN00099,PRD0020,2,599,0,0.0,1198.0
QI000303,QTN00099,PRD0011,3,699,0,0.0,2097.0
QI000304,QTN00099,PRD0010,939,199,10,18686.1,168174.9
QI000305,QTN00100,PRD0009,3,149,0,0.0,447.0
QI000306,QTN00100,PRD0013,84,899,0,0.0,75516.0
QI000307,QTN00101,PRD0010,951,199,5,9462.45,179786.55
QI000308,QTN00102,PRD0002,1,599,5,29.95,569.05
QI000309,QTN00102,PRD0014,181,1199,5,10850.95,206168.05
QI000310,QTN00103,PRD0014,2,1199,0,0.0,2398.0
QI000311,QTN00103,PRD0012,217,399,5,4329.15,82253.85
QI000312,QTN00104,PRD0013,3,899,10,269.7,2427.3
QI000313,QTN00104,PRD0012,2,399,5,39.9,758.1
QI000314,QTN00104,PRD0014,3,1199,0,0.0,3597.0
QI000315,QTN00104,PRD0015,287,999,5,14335.65,272377.35
QI000316,QTN00105,PRD0008,1,199,0,0.0,199.0
QI000317,QTN00105,PRD0001,2,299,15,89.7,508.3
QI000318,QTN00105,PRD0016,277,699,15,29043.45,164579.55
QI000319,QTN00106,PRD0020,1,599,5,29.95,569.05
QI000320,QTN00106,PRD0004,312,799,0,0.0,249288.0
QI000321,QTN00107,PRD0010,3,199,0,0.0,597.0
QI000322,QTN00107,PRD0001,3,299,0,0.0,897.0
QI000323,QTN00107,PRD0015,33,999,10,3296.7,29670.3
QI000324,QTN00108,PRD0002,2,599,10,119.8,1078.2
QI000325,QTN00108,PRD0013,1,899,10,89.9,809.1
QI000326,QTN00108,PRD0007,1,499,15,74.85,424.15
QI000327,QTN00108,PRD0014,2,1199,0,0.0,2398.0
QI000328,QTN00108,PRD0018,80,1999,15,23988.0,135932.0
QI000329,QTN00109,PRD0013,3,899,15,404.55,2292.45
QI000330,QTN00109,PRD0006,3,249,5,37.35,709.65
QI000331,QTN00109,PRD0019,54,799,15,6471.9,36674.1
QI000332,QTN00110,PRD0011,3,699,10,209.7,1887.3
QI000333,QTN00110,PRD0010,1453,199,15,43372.05,245774.95
QI000334,QTN00111,PRD0018,2,1999,10,399.8,3598.2
QI000335,QTN00111,PRD0017,2,499,5,49.9,948.1
QI000336,QTN00111,PRD0019,1,799,10,79.9,719.1
QI000337,QTN00111,PRD0004,226,799,15,27086.1,153487.9
QI000338,QTN00112,PRD0005,2,1499,15,449.7,2548.3
QI000339,QTN00112,PRD0002,283,599,10,16951.7,152565.3
QI000340,QTN00113,PRD0015,250,999,15,37462.5,212287.5
QI000341,QTN00114,PRD0020,1,599,15,89.85,509.15
QI000342,QTN00114,PRD0006,1,249,10,24.9,224.1
QI000343,QTN00114,PRD0009,1684,149,10,25091.6,225824.4
QI000344,QTN00115,PRD0018,2,1999,10,399.8,3598.2
QI000345,QTN00115,PRD0008,3,199,0,0.0,597.0
QI000346,QTN00115,PRD0020,95,599,5,2845.25,54059.75
QI000347,QTN00116,PRD0014,36,1199,5,2158.2,41005.8
QI000348,QTN00117,PRD0007,2,499,5,49.9,948.1
QI000349,QTN00117,PRD0002,3,599,15,269.55,1527.45
QI000350,QTN00117,PRD0017,3,499,15,224.55,1272.45
QI000351,QTN00117,PRD0005,193,1499,15,43396.05,245910.95
QI000352,QTN00118,PRD0003,254,999,0,0.0,253746.0
QI000353,QTN00119,PRD0011,1,699,15,104.85,594.15
QI000354,QTN00119,PRD0017,3,499,5,74.85,1422.15
QI000355,QTN00119,PRD0010,805,199,10,16019.5,144175.5
QI000356,QTN00120,PRD0005,2,1499,15,449.7,2548.3
QI000357,QTN00120,PRD0011,3,699,10,209.7,1887.3
QI000358,QTN00120,PRD0020,2,599,10,119.8,1078.2
QI000359,QTN00120,PRD0006,2,249,15,74.7,423.3
QI000360,QTN00120,PRD0013,29,899,10,2607.1,23463.9
QI000361,QTN00121,PRD0012,2,399,5,39.9,758.1
QI000362,QTN00121,PRD0005,1,1499,5,74.95,1424.05
QI000363,QTN00121,PRD0006,1162,249,10,28933.8,260404.2
QI000364,QTN00122,PRD0017,269,499,5,6711.55,127519.45
QI000365,QTN00123,PRD0015,1,999,15,149.85,849.15
QI000366,QTN00123,PRD0007,245,499,10,12225.5,110029.5
QI000367,QTN00124,PRD0010,3,199,10,59.7,537.3
QI000368,QTN00124,PRD0020,1,599,5,29.95,569.05
QI000369,QTN00124,PRD0006,2,249,5,24.9,473.1
QI000370,QTN00124,PRD0014,2,1199,5,119.9,2278.1
QI000371,QTN00124,PRD0007,57,499,10,2844.3,25598.7
QI000372,QTN00125,PRD0009,517,149,5,3851.65,73181.35
QI000373,QTN00126,PRD0010,1,199,0,0.0,199.0
QI000374,QTN00126,PRD0013,3,899,10,269.7,2427.3
QI000375,QTN00126,PRD0007,432,499,5,10778.4,204789.6
QI000376,QTN00127,PRD0013,1,899,0,0.0,899.0
QI000377,QTN00127,PRD0011,3,699,10,209.7,1887.3
QI000378,QTN00127,PRD0012,2,399,15,119.7,678.3
QI000379,QTN00127,PRD0001,412,299,15,18478.2,104709.8
QI000380,QTN00128,PRD0007,1,499,0,0.0,499.0
QI000381,QTN00128,PRD0019,2,799,15,239.7,1358.3
QI000382,QTN00128,PRD0020,263,599,0,0.0,157537.0
QI000383,QTN00129,PRD0014,181,1199,15,32552.85,184466.15
QI000384,QTN00130,PRD0013,1,899,0,0.0,899.0
QI000385,QTN00130,PRD0014,1,1199,5,59.95,1139.05
QI000386,QTN00130,PRD0007,3,499,10,149.7,1347.3
QI000387,QTN00130,PRD0016,67,699,0,0.0,46833.0
QI000388,QTN00131,PRD0005,1,1499,15,224.85,1274.15
QI000389,QTN00131,PRD0018,50,1999,5,4997.5,94952.5
QI000390,QTN00132,PRD0017,2,499,15,149.7,848.3
QI000391,QTN00132,PRD0015,2,999,10,199.8,1798.2
QI000392,QTN00132,PRD0013,3,899,15,404.55,2292.45
QI000393,QTN00132,PRD0011,2,699,0,0.0,1398.0
QI000394,QTN00132,PRD0003,129,999,0,0.0,128871.0
QI000395,QTN00133,PRD0018,3,1999,5,299.85,5697.15
QI000396,QTN00133,PRD0017,11,499,10,548.9,4940.1
QI000397,QTN00134,PRD0010,648,199,5,6447.6,122504.4
QI000398,QTN00135,PRD0002,1,599,0,0.0,599.0
QI000399,QTN00135,PRD0003,249,999,5,12437.55,236313.45
QI000400,QTN00136,PRD0003,67,999,15,10039.95,56893.05
QI000401,QTN00137,PRD0003,3,999,15,449.55,2547.45
QI000402,QTN00137,PRD0004,2,799,0,0.0,1598.0
QI000403,QTN00137,PRD0015,1,999,10,99.9,899.1
QI000404,QTN00137,PRD0019,245,799,10,19575.5,176179.5
QI000405,QTN00138,PRD0007,1,499,5,24.95,474.05
QI000406,QTN00138,PRD0008,2,199,5,19.9,378.1
QI000407,QTN00138,PRD0013,2,899,0,0.0,1798.0
QI000408,QTN00138,PRD0014,208,1199,5,12469.6,236922.4
QI000409,QTN00139,PRD0011,2,699,5,69.9,1328.1
QI000410,QTN00139,PRD0017,72,499,0,0.0,35928.0
QI000411,QTN00140,PRD0017,574,499,5,14321.3,272104.7
QI000412,QTN00141,PRD0015,3,999,10,299.7,2697.3
QI000413,QTN00141,PRD0020,2,599,0,0.0,1198.0
QI000414,QTN00141,PRD0019,204,799,15,24449.4,138546.6
QI000415,QTN00142,PRD0003,3,999,15,449.55,2547.45
QI000416,QTN00142,PRD0013,2,899,15,269.7,1528.3
QI000417,QTN00142,PRD0018,12,1999,15,3598.2,20389.8
QI000418,QTN00143,PRD0018,81,1999,0,0.0,161919.0
QI000419,QTN00144,PRD0003,3,999,10,299.7,2697.3
QI000420,QTN00144,PRD0015,3,999,10,299.7,2697.3
QI000421,QTN00144,PRD0016,1,699,0,0.0,699.0
QI000422,QTN00144,PRD0011,10,699,5,349.5,6640.5
QI000423,QTN00145,PRD0004,3,799,0,0.0,2397.0
QI000424,QTN00145,PRD0018,3,1999,10,599.7,5397.3
QI000425,QTN00145,PRD0019,3,799,0,0.0,2397.0
QI000426,QTN00145,PRD0016,1,699,15,104.85,594.15
QI000427,QTN00145,PRD0011,293,699,15,30721.05,174085.95
QI000428,QTN00146,PRD0014,1,1199,15,179.85,1019.15
QI000429,QTN00146,PRD0005,3,1499,15,674.55,3822.45
QI000430,QTN00146,PRD0002,279,599,0,0.0,167121.0
QI000431,QTN00147,PRD0018,2,1999,15,599.7,3398.3
QI000432,QTN00147,PRD0004,2,799,10,159.8,1438.2
