OrderID,QuoteID,AccountID,OrderDate,OrderAmount,ShippingMethod,OrderStatus
ORD00034,QTN00073,ACC01050,2024-07-10,188739.25,Express,Shipped
ORD00035,QTN00076,ACC00262,2024-06-25,240316.2,Overnight,Delivered
ORD00036,QTN00077,ACC00528,2024-06-05,61619.55,Standard,Delivered
ORD00037,QTN00087,ACC01535,2024-06-08,215999.6,Standard,Processing
ORD00038,QTN00088,ACC01509,2024-07-13,266466.5,Standard,Shipped
ORD00039,QTN00090,ACC02548,2024-06-19,87254.45,Express,Processing
ORD00040,QTN00091,ACC04960,2024-06-18,96630.95,Overnight,Delivered
ORD00041,QTN00093,ACC03294,2024-06-10,115794.65,Standard,Delivered
ORD00042,QTN00094,ACC00537,2024-06-22,109323.6,Express,Delivered
ORD00043,QTN00097,ACC02315,2024-05-31,36391.8,Standard,Shipped
ORD00044,QTN00102,ACC01374,2024-05-29,206737.1,Standard,Delivered
ORD00045,QTN00104,ACC04018,2024-06-20,279159.75,Overnight,Shipped
ORD00046,QTN00105,ACC02578,2024-06-17,165286.85,Overnight,Shipped
ORD00047,QTN00109,ACC02962,2024-07-01,39676.2,Express,Shipped
ORD00048,QTN00110,ACC00114,2024-05-29,247662.25,Standard,Delivered
ORD00049,QTN00113,ACC00469,2024-06-18,212287.5,Standard,Processing
ORD00050,QTN00114,ACC00953,2024-07-19,226557.65,Standard,Processing
ORD00051,QTN00115,ACC04291,2024-06-29,58254.95,Standard,Delivered
ORD00052,QTN00117,ACC03241,2024-07-05,249658.95,Overnight,Processing
ORD00053,QTN00118,ACC03115,2024-06-08,253746.0,Express,Delivered
ORD00054,QTN00120,ACC02911,2024-07-08,29401.0,Overnight,Shipped
ORD00055,QTN00121,ACC01020,2024-11-26,262586.35,Standard,Delivered
ORD00056,QTN00122,ACC02135,2024-12-30,127519.45,Standard,Delivered
ORD00057,QTN00126,ACC03216,2024-08-07,207415.9,Express,Delivered
ORD00058,QTN00127,ACC04439,2024-08-09,108174.4,Standard,Shipped
ORD00059,QTN00128,ACC03250,2024-08-04,159394.3,Standard,Shipped
ORD00060,QTN00136,ACC03451,2025-01-27,56893.05,Overnight,Delivered
ORD00061,QTN00140,ACC00530,2024-12-20,272104.7,Overnight,Processing
ORD00062,QTN00141,ACC02063,2024-12-22,142441.9,Standard,Delivered
ORD00063,QTN00146,ACC02090,2024-09-18,171962.6,Overnight,Delivered
ORD00064,QTN00147,ACC04524,2024-12-30,164792.15,Standard,Processing
ORD00065,QTN00148,ACC02505,2024-08-09,96651.6,Standard,Delivered
ORD00066,QTN00149,ACC01848,2025-01-11,296819.45,Overnight,Processing
ORD00067,QTN00151,ACC02579,2024-09-18,170829.0,Express,Shipped
ORD00068,QTN00152,ACC02465,2024-08-17,217431.8,Standard,Shipped
ORD00069,QTN00154,ACC01238,2024-08-28,172810.05,Express,Processing
ORD00070,QTN00155,ACC01340,2024-08-03,103719.6,Standard,Delivered
ORD00071,QTN00156,ACC03742,2024-12-16,212775.3,Standard,Delivered
ORD00072,QTN00157,ACC04910,2024-10-03,234979.2,Standard,Delivered
ORD00073,QTN00159,ACC01256,2024-09-21,170960.8,Standard,Processing
ORD00074,QTN00162,ACC02543,2024-08-20,220202.7,Express,Delivered
ORD00075,QTN00163,ACC00023,2025-01-10,8310.4,Express,Delivered
ORD00076,QTN00165,ACC02907,2024-12-11,8772.45,Overnight,Shipped
ORD00077,QTN00166,ACC01803,2024-11-08,161183.85,Overnight,Delivered
ORD00078,QTN00167,ACC03997,2025-01-21,254738.4,Standard,Delivered
ORD00079,QTN00169,ACC01004,2024-09-24,43134.7,Express,Delivered
ORD00080,QTN00170,ACC04716,2024-10-31,50175.95,Express,Shipped
ORD00081,QTN00172,ACC02664,2024-10-22,94302.3,Express,Processing
ORD00082,QTN00173,ACC01349,2024-09-17,264401.9,Standard,Processing
ORD00083,QTN00174,ACC02607,2024-08-02,98293.95,Standard,Delivered
ORD00084,QTN00175,ACC02289,2024-11-06,271993.55,Standard,Delivered
ORD00085,QTN00176,ACC01230,2024-09-26,191138.9,Standard,Processing
ORD00086,QTN00180,ACC03475,2024-11-18,208539.0,Overnight,Processing
ORD00087,QTN00182,ACC00804,2024-09-30,33797.7,Standard,Processing
ORD00088,QTN00185,ACC04267,2024-11-09,264398.5,Express,Processing
ORD00089,QTN00186,ACC04840,2024-11-22,43862.7,Standard,Shipped
ORD00090,QTN00187,ACC03578,2024-12-14,252014.75,Express,Processing
ORD00091,QTN00188,ACC04961,2024-12-14,54788.45,Standard,Delivered
ORD00092,QTN00189,ACC02194,2024-10-16,275182.5,Overnight,Shipped
ORD00093,QTN00190,ACC04469,2024-08-07,48440.7,Express,Shipped
ORD00094,QTN00191,ACC03231,2024-10-28,136102.65,Standard,Processing
ORD00095,QTN00192,ACC00493,2024-10-25,49374.5,Express,Shipped
ORD00096,QTN00196,ACC04197,2025-01-12,36425.7,Express,Shipped
ORD00097,QTN00198,ACC04392,2024-12-29,210161.25,Overnight,Processing
ORD00098,QTN00203,ACC03872,2024-10-22,86505.4,Overnight,Delivered
ORD00099,QTN00204,ACC02586,2024-11-20,13891.45,Standard,Shipped
ORD00100,QTN00205,ACC00845,2024-08-11,286700.55,Express,Processing
ORD00101,QTN00207,ACC01348,2024-12-24,34086.6,Standard,Processing
ORD00102,QTN00208,ACC04863,2024-10-13,130027.75,Express,Processing
ORD00103,QTN00210,ACC03295,2024-10-19,140826.45,Standard,Shipped
ORD00104,QTN00212,ACC00657,2024-09-20,113482.65,Standard,Processing
ORD00105,QTN00214,ACC04849,2024-08-15,34160.4,Overnight,Processing
ORD00106,QTN00216,ACC00913,2024-12-25,122110.05,Overnight,Delivered
ORD00107,QTN00217,ACC02050,2024-08-29,71192.9,Standard,Processing
ORD00108,QTN00222,ACC04416,2024-12-07,233666.05,Standard,Processing
ORD00109,QTN00223,ACC01509,2024-12-18,93859.75,Express,Shipped
ORD00110,QTN00224,ACC04762,2024-09-23,14941.15,Express,Processing
ORD00111,QTN00225,ACC04596,2025-01-01,170905.7,Express,Processing
ORD00112,QTN00228,ACC02981,2024-12-31,225317.6,Express,Shipped
ORD00113,QTN00231,ACC03212,2024-12-18,237373.75,Express,Delivered
ORD00114,QTN00232,ACC00723,2024-09-16,43521.15,Overnight,Delivered
ORD00115,QTN00233,ACC02435,2024-11-16,105268.25,Express,Processing
ORD00116,QTN00235,ACC02900,2024-12-11,74560.05,Express,Processing
ORD00117,QTN00236,ACC01343,2024-09-04,57254.1,Overnight,Delivered
ORD00118,QTN00237,ACC04650,2024-08-30,55567.95,Standard,Delivered
ORD00119,QTN00240,ACC03573,2024-08-18,75242.85,Standard,Processing
ORD00120,QTN00241,ACC03818,2024-12-04,97906.2,Express,Delivered
ORD00121,QTN00244,ACC01973,2024-10-14,245026.05,Overnight,Processing
ORD00122,QTN00245,ACC01696,2024-08-02,146527.25,Overnight,Processing
ORD00123,QTN00252,ACC04491,2024-11-04,242726.3,Standard,Processing
ORD00124,QTN00254,ACC00388,2024-07-31,113832.95,Standard,Delivered
ORD00125,QTN00257,ACC04500,2024-08-12,52591.5,Standard,Shipped
ORD00126,QTN00261,ACC04996,2025-01-11,46656.5,Overnight,Processing
ORD00127,QTN00262,ACC01001,2024-09-10,28950.5,Overnight,Processing
ORD00128,QTN00265,ACC00306,2024-08-20,147335.25,Standard,Shipped
ORD00129,QTN00270,ACC04871,2025-01-11,175884.4,Overnight,Delivered
ORD00130,QTN00272,ACC03297,2024-08-13,69523.1,Express,Shipped
ORD00131,QTN00273,ACC01286,2024-08-12,232292.7,Overnight,Delivered
ORD00132,QTN00274,ACC03572,2024-12-08,110063.15,Standard,Shipped
ORD00133,QTN00275,ACC00952,2025-01-28,62592.25,Standard,Delivered
ORD00134,QTN00277,ACC03725,2024-10-04,81598.3,Express,Shipped
ORD00135,QTN00278,ACC00699,2024-09-23,299346.35,Standard,Processing
ORD00136,QTN00279,ACC03038,2024-09-21,197769.65,Overnight,Delivered
ORD00137,QTN00280,ACC02551,2024-12-29,147130.7,Standard,Delivered
ORD00138,QTN00281,ACC00363,2024-11-22,173866.5,Overnight,Shipped
ORD00139,QTN00282,ACC02834,2025-01-09,255255.0,Express,Processing
ORD00140,QTN00285,ACC00651,2025-01-04,37893.05,Express,Shipped
ORD00141,QTN00286,ACC00667,2024-10-01,185206.05,Express,Delivered
ORD00142,QTN00288,ACC03902,2024-12-25,257879.7,Express,Delivered
ORD00143,QTN00289,ACC01934,2024-12-24,264070.8,Overnight,Delivered
ORD00144,QTN00293,ACC01861,2024-08-30,232295.95,Overnight,Delivered
ORD00145,QTN00295,ACC03082,2024-12-22,46496.55,Overnight,Processing
ORD00146,QTN00296,ACC00417,2024-12-01,8496.6,Express,Processing
ORD00147,QTN00297,ACC01874,2024-08-30,230438.45,Overnight,Delivered
ORD00148,QTN00298,ACC03719,2024-12-23,122700.85,Express,Shipped
ORD00149,QTN00299,ACC03051,2024-09-02,166362.95,Standard,Delivered
ORD00150,QTN00300,ACC00211,2024-11-20,35743.55,Standard,Delivered
ORD00151,QTN00301,ACC02014,2024-12-29,242376.6,Express,Delivered
ORD00152,QTN00303,ACC04751,2024-11-27,287722.55,Express,Processing
ORD00153,QTN00304,ACC00745,2025-01-20,124800.65,Overnight,Shipped
ORD00154,QTN00307,ACC00604,2024-12-15,142315.55,Express,Processing
ORD00155,QTN00308,ACC00450,2024-11-14,57769.55,Express,Processing
ORD00156,QTN00309,ACC04980,2024-09-25,182222.4,Express,Processing
ORD00157,QTN00310,ACC00923,2024-12-11,31329.1,Express,Delivered
ORD00158,QTN00312,ACC04096,2024-12-10,93699.5,Express,Delivered
ORD00159,QTN00314,ACC01240,2024-09-23,136186.0,Standard,Processing
ORD00160,QTN00315,ACC00420,2024-11-02,109177.85,Standard,Delivered
ORD00161,QTN00316,ACC02130,2025-01-19,161821.95,Express,Delivered
ORD00162,QTN00318,ACC02565,2025-01-18,165926.4,Standard,Shipped
ORD00163,QTN00322,ACC00248,2024-12-03,126949.2,Standard,Shipped
ORD00164,QTN00324,ACC01822,2024-08-24,128411.1,Standard,Shipped
ORD00165,QTN00325,ACC04204,2024-12-03,234426.6,Overnight,Processing
ORD00166,QTN00326,ACC02566,2024-12-06,229350.4,Standard,Shipped
ORD00167,QTN00328,ACC01695,2024-12-22,244727.6,Overnight,Shipped
ORD00168,QTN00331,ACC01069,2024-12-20,221889.0,Overnight,Processing
ORD00169,QTN00332,ACC01763,2024-08-19,28512.15,Standard,Processing
ORD00170,QTN00334,ACC00654,2024-11-25,288445.8,Standard,Processing
ORD00171,QTN00337,ACC01527,2023-06-16,140563.2,Express,Shipped
ORD00172,QTN00338,ACC03331,2023-05-20,241474.8,Overnight,Delivered
ORD00173,QTN00340,ACC03451,2023-07-26,31973.25,Standard,Shipped
ORD00174,QTN00342,ACC02204,2023-06-30,250788.4,Overnight,Processing
ORD00175,QTN00344,ACC02709,2023-05-22,243893.45,Standard,Shipped
ORD00176,QTN00346,ACC04635,2023-05-31,283424.05,Standard,Shipped
ORD00177,QTN00350,ACC00423,2023-06-03,53650.6,Express,Processing
ORD00178,QTN00351,ACC01237,2023-06-30,139218.5,Standard,Delivered
ORD00179,QTN00354,ACC02601,2023-07-09,131528.25,Express,Shipped
ORD00180,QTN00358,ACC00804,2023-05-05,49846.95,Standard,Shipped
ORD00181,QTN00359,ACC03724,2023-06-29,46182.65,Overnight,Delivered
ORD00182,QTN00360,ACC04346,2023-08-02,9945.65,Overnight,Delivered
ORD00183,QTN00361,ACC02324,2023-06-22,174841.35,Standard,Processing
ORD00184,QTN00362,ACC03245,2023-05-22,65813.4,Standard,Delivered
ORD00185,QTN00364,ACC01793,2023-06-22,279600.0,Standard,Processing
ORD00186,QTN00366,ACC03266,2023-04-30,74073.35,Express,Shipped
ORD00187,QTN00368,ACC00790,2023-07-01,14738.85,Express,Shipped
ORD00188,QTN00371,ACC04154,2023-06-08,15010.25,Overnight,Processing
ORD00189,QTN00377,ACC00447,2023-06-05,141031.3,Overnight,Processing
ORD00190,QTN00381,ACC01525,2023-06-26,96762.35,Standard,Delivered
ORD00191,QTN00382,ACC04766,2024-11-21,173838.6,Standard,Delivered
ORD00192,QTN00387,ACC04001,2024-11-23,259723.85,Overnight,Delivered
ORD00193,QTN00388,ACC00416,2024-09-01,20839.0,Overnight,Delivered
ORD00194,QTN00389,ACC00225,2024-12-14,134872.05,Standard,Shipped
ORD00195,QTN00391,ACC01419,2024-09-11,132533.7,Standard,Delivered
ORD00196,QTN00392,ACC00522,2024-11-23,145413.95,Overnight,Shipped
ORD00197,QTN00394,ACC04623,2024-09-28,225633.65,Standard,Delivered
ORD00198,QTN00401,ACC01120,2024-09-29,178357.35,Overnight,Shipped
ORD00199,QTN00404,ACC01410,2024-09-20,71270.9,Express,Shipped
ORD00200,QTN00407,ACC03803,2024-11-14,125250.9,Overnight,Shipped
ORD00201,QTN00409,ACC04281,2024-09-11,236862.6,Standard,Processing
ORD00202,QTN00410,ACC02295,2024-10-13,160740.0,Overnight,Shipped
ORD00203,QTN00411,ACC04661,2024-11-05,183374.4,Overnight,Processing
ORD00204,QTN00412,ACC04088,2024-12-11,157095.35,Overnight,Shipped
ORD00205,QTN00413,ACC02439,2025-01-08,95677.1,Overnight,Processing
ORD00206,QTN00414,ACC03675,2024-09-09,247691.05,Express,Processing
ORD00207,QTN00416,ACC03285,2024-11-18,37138.0,Overnight,Delivered
ORD00208,QTN00417,ACC00699,2025-01-13,5492.1,Express,Shipped
ORD00209,QTN00418,ACC03107,2024-09-25,206341.85,Express,Delivered
ORD00210,QTN00421,ACC02155,2024-12-09,294434.75,Overnight,Shipped
ORD00211,QTN00423,ACC00477,2025-01-21,168323.55,Overnight,Processing
ORD00212,QTN00424,ACC04575,2024-10-24,43905.6,Standard,Shipped
ORD00213,QTN00426,ACC03906,2024-12-12,40988.7,Overnight,Delivered
ORD00214,QTN00427,ACC02037,2025-01-18,168917.0,Express,Processing
ORD00215,QTN00431,ACC04734,2024-10-30,259011.05,Standard,Delivered
ORD00216,QTN00432,ACC01888,2024-08-30,63025.25,Standard,Processing
ORD00217,QTN00433,ACC01866,2024-10-21,189718.45,Standard,Processing
ORD00218,QTN00434,ACC04360,2025-01-16,249858.75,Express,Delivered
ORD00219,QTN00435,ACC01554,2024-11-09,94504.75,Standard,Shipped
ORD00220,QTN00439,ACC03115,2024-09-27,56349.9,Overnight,Delivered
ORD00221,QTN00441,ACC02278,2025-01-22,21941.9,Overnight,Delivered
ORD00222,QTN00442,ACC03157,2024-12-02,219476.85,Express,Shipped
ORD00223,QTN00450,ACC00464,2024-09-13,102872.95,Standard,Delivered
ORD00224,QTN00451,ACC01660,2024-09-09,181128.1,Standard,Processing
ORD00225,QTN00452,ACC00550,2024-12-02,242367.75,Express,Processing
ORD00226,QTN00454,ACC02838,2024-09-11,245747.0,Overnight,Delivered
ORD00227,QTN00457,ACC01767,2024-12-20,38518.4,Standard,Delivered
ORD00228,QTN00458,ACC02972,2024-08-24,243332.6,Standard,Shipped
ORD00229,QTN00461,ACC00343,2024-10-08,12098.4,Express,Delivered
ORD00230,QTN00463,ACC00496,2024-10-27,275307.7,Overnight,Delivered
ORD00231,QTN00465,ACC02453,2025-01-02,106401.2,Express,Delivered
ORD00232,QTN00467,ACC01515,2024-09-29,239272.35,Overnight,Delivered
ORD00233,QTN00468,ACC01172,2024-09-18,214467.95,Overnight,Shipped
ORD00234,QTN00469,ACC03093,2024-12-13,16361.35,Overnight,Shipped
ORD00235,QTN00472,ACC03498,2024-09-11,26243.5,Express,Processing
ORD00236,QTN00473,ACC04580,2024-11-14,245908.4,Overnight,Shipped
ORD00237,QTN00474,ACC02803,2024-08-23,202893.4,Overnight,Shipped
ORD00238,QTN00478,ACC02778,2025-01-18,261546.85,Standard,Shipped
ORD00239,QTN00482,ACC01650,2024-12-17,112147.05,Standard,Delivered
ORD00240,QTN00484,ACC03758,2023-07-11,196568.3,Standard,Shipped
ORD00241,QTN00485,ACC00484,2023-08-04,235436.45,Express,Delivered
ORD00242,QTN00486,ACC02043,2023-05-06,277428.1,Standard,Processing
ORD00243,QTN00488,ACC04230,2023-07-30,140918.25,Express,Delivered
ORD00244,QTN00489,ACC02019,2023-08-08,191732.15,Overnight,Processing
ORD00245,QTN00493,ACC00858,2023-08-10,237131.35,Express,Shipped
ORD00246,QTN00494,ACC04449,2023-06-29,246783.4,Overnight,Shipped
ORD00247,QTN00495,ACC00425,2023-06-12,12742.3,Standard,Processing
ORD00248,QTN00498,ACC02641,2023-07-20,131371.7,Express,Shipped
ORD00249,QTN00503,ACC03630,2023-05-09,96453.15,Overnight,Delivered
ORD00250,QTN00504,ACC01852,2023-07-29,163816.3,Overnight,Shipped
ORD00251,QTN00511,ACC01867,2023-06-07,129250.4,Standard,Shipped
ORD00252,QTN00512,ACC03365,2023-06-09,178002.0,Express,Shipped
ORD00253,QTN00517,ACC04201,2023-06-23,53496.45,Overnight,Delivered
ORD00254,QTN00518,ACC01839,2023-07-10,147193.1,Overnight,Processing
ORD00255,QTN00519,ACC00917,2023-06-28,63873.1,Standard,Shipped
ORD00256,QTN00521,ACC00679,2023-04-28,106562.7,Express,Processing
ORD00257,QTN00524,ACC00806,2023-07-18,208591.55,Express,Delivered
ORD00258,QTN00528,ACC02500,2023-06-15,220731.45,Express,Delivered
ORD00259,QTN00529,ACC02213,2023-05-27,122374.15,Express,Processing
ORD00260,QTN00530,ACC02185,2023-07-05,235882.0,Overnight,Processing
ORD00261,QTN00531,ACC04390,2023-05-31,99635.45,Overnight,Delivered
ORD00262,QTN00532,ACC00760,2023-06-17,72932.4,Standard,Processing
ORD00263,QTN00533,ACC01103,2023-06-22,187948.75,Express,Processing
ORD00264,QTN00534,ACC03155,2023-05-11,187974.6,Express,Processing
ORD00265,QTN00537,ACC03085,2023-05-06,137728.0,Express,Shipped
ORD00266,QTN00538,ACC04873,2023-08-02,55243.5,Standard,Shipped
ORD00267,QTN00539,ACC01480,2023-07-25,99075.35,Express,Shipped
ORD00268,QTN00542,ACC00191,2023-06-27,295630.0,Express,Shipped
ORD00269,QTN00543,ACC03685,2023-07-03,15091.8,Standard,Shipped
ORD00270,QTN00545,ACC04654,2023-08-11,84579.0,Overnight,Delivered
ORD00271,QTN00546,ACC00049,2023-05-22,96681.75,Express,Processing
ORD00272,QTN00548,ACC02444,2023-05-13,153998.75,Standard,Delivered
ORD00273,QTN00551,ACC04379,2023-05-08,240657.8,Standard,Processing
ORD00274,QTN00553,ACC03640,2023-07-29,33922.95,Standard,Delivered
ORD00275,QTN00554,ACC02226,2023-07-17,263724.75,Standard,Processing
ORD00276,QTN00556,ACC02798,2023-07-02,290803.65,Overnight,Processing
ORD00277,QTN00557,ACC02724,2023-07-13,201860.4,Standard,Shipped
ORD00278,QTN00560,ACC01790,2023-07-07,72927.0,Express,Shipped
ORD00279,QTN00561,ACC02891,2023-07-27,282589.15,Overnight,Delivered
ORD00280,QTN00563,ACC00966,2023-08-22,5516.5,Overnight,Processing
ORD00281,QTN00565,ACC03302,2023-05-25,166945.35,Standard,Shipped
ORD00282,QTN00567,ACC04278,2023-06-21,250049.1,Overnight,Processing
ORD00283,QTN00569,ACC02576,2023-04-29,196601.25,Overnight,Delivered
ORD00284,QTN00574,ACC01094,2023-05-24,128063.35,Express,Delivered
ORD00285,QTN00576,ACC00114,2023-07-10,9400.1,Standard,Delivered
ORD00286,QTN00577,ACC03764,2023-08-09,200664.4,Overnight,Processing
ORD00287,QTN00580,ACC00587,2023-07-22,82567.4,Overnight,Shipped
ORD00288,QTN00582,ACC01920,2023-05-25,284678.55,Overnight,Delivered
ORD00289,QTN00586,ACC02596,2023-06-11,77729.25,Standard,Delivered
ORD00290,QTN00587,ACC02765,2023-05-28,40918.0,Standard,Shipped
ORD00291,QTN00588,ACC03866,2023-07-31,178399.1,Express,Delivered
ORD00292,QTN00593,ACC02871,2023-06-22,126149.15,Standard,Delivered
ORD00293,QTN00595,ACC01407,2023-06-21,11233.05,Express,Processing
ORD00294,QTN00597,ACC01305,2023-08-11,210740.05,Express,Shipped
ORD00295,QTN00598,ACC00877,2023-06-16,212870.3,Express,Shipped
ORD00296,QTN00599,ACC02732,2023-07-29,286474.55,Express,Delivered
ORD00297,QTN00601,ACC02336,2023-04-25,261084.5,Express,Processing
ORD00298,QTN00604,ACC00772,2023-06-16,186830.4,Overnight,Delivered
ORD00299,QTN00606,ACC03709,2023-06-04,150273.85,Overnight,Delivered
ORD00300,QTN00608,ACC03923,2023-05-26,222753.6,Express,Shipped
ORD00301,QTN00609,ACC04003,2023-05-26,178707.4,Overnight,Delivered
ORD00302,QTN00610,ACC01866,2023-08-01,225081.95,Express,Processing
ORD00303,QTN00611,ACC02420,2023-06-19,214472.3,Standard,Shipped
ORD00304,QTN00615,ACC00284,2023-05-04,204336.6,Standard,Shipped
ORD00305,QTN00616,ACC04981,2023-06-22,126851.15,Overnight,Delivered
ORD00306,QTN00618,ACC01097,2023-05-27,204921.45,Express,Processing
ORD00307,QTN00619,ACC00334,2023-07-13,162050.85,Express,Processing
ORD00308,QTN00621,ACC01000,2023-07-28,74333.7,Standard,Shipped
ORD00309,QTN00623,ACC04695,2023-07-28,213385.55,Express,Shipped
ORD00310,QTN00624,ACC03801,2023-07-19,250332.0,Overnight,Delivered
ORD00311,QTN00625,ACC01362,2023-06-11,254142.8,Overnight,Processing
ORD00312,QTN00629,ACC03461,2023-06-29,123173.05,Standard,Processing
ORD00313,QTN00630,ACC01786,2023-06-30,154479.0,Overnight,Shipped
ORD00314,QTN00632,ACC03881,2023-04-29,148278.95,Overnight,Processing
ORD00315,QTN00634,ACC00617,2023-06-07,182645.1,Express,Delivered
ORD00316,QTN00635,ACC02629,2023-07-25,19692.65,Express,Shipped
ORD00317,QTN00637,ACC00435,2023-06-12,242065.75,Standard,Processing
ORD00318,QTN00638,ACC01606,2023-07-12,250073.9,Standard,Shipped
ORD00319,QTN00639,ACC00904,2023-07-17,39021.25,Standard,Shipped
ORD00320,QTN00640,ACC02605,2023-07-15,115044.05,Overnight,Shipped
ORD00321,QTN00644,ACC01752,2023-04-27,164185.3,Overnight,Delivered
ORD00322,QTN00646,ACC02280,2023-08-03,31612.25,Express,Delivered
ORD00323,QTN00648,ACC03103,2023-06-19,49577.95,Express,Shipped
ORD00324,QTN00650,ACC00011,2023-06-21,95763.0,Express,Shipped
ORD00325,QTN00653,ACC02728,2024-04-16,249272.1,Express,Processing
ORD00326,QTN00656,ACC01841,2024-02-16,40005.2,Overnight,Processing
ORD00327,QTN00660,ACC03947,2024-04-15,194969.15,Standard,Delivered
ORD00328,QTN00662,ACC04886,2024-02-18,179148.0,Overnight,Processing
ORD00329,QTN00663,ACC02597,2024-03-28,118187.1,Standard,Delivered
ORD00330,QTN00664,ACC04503,2024-03-18,50843.6,Express,Delivered
ORD00331,QTN00667,ACC04692,2024-03-09,267870.3,Overnight,Delivered
ORD00332,QTN00670,ACC03642,2024-02-27,131937.15,Standard,Processing
ORD00333,QTN00671,ACC00059,2024-04-07,63586.35,Standard,Shipped
ORD00334,QTN00673,ACC03712,2024-04-07,208975.45,Express,Processing
ORD00335,QTN00676,ACC03123,2024-03-08,273073.2,Overnight,Processing
ORD00336,QTN00677,ACC02718,2024-03-02,230170.2,Standard,Processing
ORD00337,QTN00678,ACC00790,2024-03-09,58895.35,Express,Delivered
ORD00338,QTN00679,ACC01643,2024-04-12,98747.55,Overnight,Shipped
ORD00339,QTN00680,ACC03024,2024-02-10,27525.4,Standard,Delivered
ORD00340,QTN00681,ACC03642,2024-04-25,69835.3,Express,Shipped
ORD00341,QTN00682,ACC02511,2024-02-18,94365.0,Express,Processing
ORD00342,QTN00687,ACC04293,2024-04-10,246941.7,Express,Shipped
ORD00343,QTN00688,ACC04607,2024-03-17,178321.5,Standard,Shipped
ORD00344,QTN00689,ACC04116,2024-02-08,115022.0,Standard,Delivered
ORD00345,QTN00690,ACC03556,2024-03-08,187618.7,Overnight,Processing
ORD00346,QTN00691,ACC03773,2024-02-26,185604.45,Standard,Delivered
ORD00347,QTN00692,ACC00837,2024-02-29,14126.65,Standard,Processing
ORD00348,QTN00693,ACC04646,2024-02-23,69428.95,Overnight,Shipped
ORD00349,QTN00694,ACC00497,2024-02-12,193363.15,Overnight,Delivered
ORD00350,QTN00695,ACC02365,2024-04-10,290150.3,Overnight,Shipped
ORD00351,QTN00698,ACC02786,2024-03-26,90261.7,Express,Shipped
ORD00352,QTN00701,ACC01895,2024-04-13,286058.8,Overnight,Shipped
ORD00353,QTN00705,ACC02677,2024-03-22,155282.55,Overnight,Delivered
ORD00354,QTN00706,ACC02253,2024-03-25,10100.55,Overnight,Delivered
ORD00355,QTN00709,ACC04099,2024-02-10,230506.6,Standard,Delivered
ORD00356,QTN00710,ACC04377,2024-03-13,206255.25,Express,Delivered
ORD00357,QTN00713,ACC04933,2024-02-13,75474.0,Standard,Processing
ORD00358,QTN00714,ACC03293,2024-02-02,175239.45,Overnight,Processing
ORD00359,QTN00717,ACC01811,2024-02-21,265833.0,Standard,Shipped
