TicketID,AccountID,ContactID,AssignedUserID,Category,Priority,Status,CreatedDate,ResolvedDate
TKT00096,ACC03239,CON009737,USR0179,Configuration,Critical,In Progress,2023-08-16,
TKT00097,ACC00123,CON000364,USR0189,Configuration,Medium,Resolved,2023-12-25,2024-01-08
TKT00098,ACC02691,CON008064,USR0061,Installation,Medium,Open,2023-08-17,
TKT00099,ACC00242,CON000733,USR0188,Configuration,Low,Resolved,2024-02-13,2024-02-18
TKT00100,ACC03213,CON009653,USR0033,Performance,Critical,Resolved,2023-10-13,2023-10-24
TKT00101,ACC00488,CON001457,USR0189,Login Issue,High,Resolved,2024-11-26,2024-11-27
TKT00102,ACC03605,CON010832,USR0142,Login Issue,Critical,Resolved,2023-07-02,2023-07-03
TKT00103,ACC02546,CON007624,USR0148,Performance,Low,Resolved,2023-12-20,2023-12-27
TKT00104,ACC02233,CON006682,USR0188,Billing,Low,In Progress,2024-01-30,
TKT00105,ACC03578,CON010757,USR0148,Performance,Medium,Open,2024-03-22,
TKT00106,ACC01568,CON004738,USR0188,Installation,High,Closed,2024-01-08,2024-01-10
TKT00107,ACC04807,CON014427,USR0188,Configuration,Low,Resolved,2024-09-30,2024-10-11
TKT00108,ACC03343,CON010063,USR0101,Feature Request,High,Resolved,2023-11-04,2023-11-15
TKT00109,ACC04689,CON014079,USR0048,Software Bug,Medium,Resolved,2024-02-17,2024-02-26
TKT00110,ACC01936,CON005768,USR0133,Installation,Medium,Closed,2024-03-06,2024-03-17
TKT00111,ACC04723,CON014172,USR0048,Performance,Low,Resolved,2024-09-22,2024-09-29
TKT00112,ACC02750,CON008249,USR0133,Feature Request,High,Resolved,2023-11-08,2023-11-12
TKT00113,ACC00925,CON002792,USR0148,Installation,Medium,Closed,2024-04-21,2024-04-29
TKT00114,ACC03986,CON011998,USR0133,Configuration,Medium,Closed,2024-06-07,2024-06-20
TKT00115,ACC00251,CON000758,USR0148,Billing,High,Open,2024-11-05,
TKT00116,ACC04808,CON014429,USR0061,Installation,High,In Progress,2023-04-06,
TKT00117,ACC03727,CON011211,USR0179,Software Bug,Low,In Progress,2023-08-19,
TKT00118,ACC04851,CON014562,USR0165,Feature Request,Low,In Progress,2023-02-17,
TKT00119,ACC02788,CON008362,USR0029,Installation,Medium,Closed,2024-04-11,2024-04-26
TKT00120,ACC00636,CON001889,USR0142,Software Bug,Medium,Closed,2024-01-29,2024-02-05
TKT00121,ACC04877,CON014629,USR0188,Configuration,Low,Open,2024-11-02,
TKT00122,ACC04450,CON013344,USR0101,Software Bug,Critical,In Progress,2024-03-11,
TKT00123,ACC02224,CON006653,USR0101,Configuration,Low,In Progress,2023-02-21,
TKT00124,ACC03126,CON009373,USR0048,Configuration,Critical,In Progress,2024-04-12,
TKT00125,ACC03786,CON011391,USR0180,Feature Request,Critical,Resolved,2024-11-14,2024-11-27
TKT00126,ACC03962,CON011921,USR0142,Software Bug,Critical,Closed,2024-07-15,2024-07-30
TKT00127,ACC04738,CON014221,USR0165,Software Bug,High,Resolved,2024-04-05,2024-04-18
TKT00128,ACC01720,CON005145,USR0033,Software Bug,High,Closed,2024-06-17,2024-06-28
TKT00129,ACC00900,CON002712,USR0188,Installation,High,Open,2024-03-26,
TKT00130,ACC04020,CON012080,USR0033,Billing,Low,Resolved,2023-08-29,2023-09-04
TKT00131,ACC02522,CON007544,USR0189,Software Bug,Critical,In Progress,2023-05-22,
TKT00132,ACC00488,CON001457,USR0142,Login Issue,Critical,In Progress,2023-06-06,
TKT00133,ACC04220,CON012679,USR0179,Feature Request,Critical,Resolved,2024-02-22,2024-03-02
TKT00134,ACC03640,CON010940,USR0061,Configuration,Critical,In Progress,2023-03-05,
TKT00135,ACC00447,CON001350,USR0029,Configuration,Critical,Open,2024-02-03,
TKT00136,ACC02022,CON006040,USR0101,Billing,High,Open,2024-05-03,
TKT00137,ACC04454,CON013355,USR0189,Installation,Medium,Closed,2024-02-04,2024-02-13
TKT00138,ACC02622,CON007856,USR0133,Billing,Critical,In Progress,2024-05-14,
TKT00139,ACC03217,CON009667,USR0148,Feature Request,High,Open,2024-05-12,
TKT00140,ACC02445,CON007317,USR0188,Software Bug,Critical,Closed,2024-11-15,2024-11-27
TKT00141,ACC02906,CON008720,USR0033,Feature Request,Low,Open,2023-05-11,
TKT00142,ACC02554,CON007644,USR0033,Configuration,Critical,Closed,2023-03-27,2023-03-30
TKT00143,ACC02762,CON008288,USR0029,Billing,Critical,Open,2023-07-06,
TKT00144,ACC01598,CON004805,USR0148,Feature Request,High,In Progress,2023-12-02,
TKT00145,ACC02189,CON006550,USR0180,Configuration,Critical,Closed,2023-12-12,2023-12-17
TKT00146,ACC01322,CON003982,USR0033,Feature Request,Low,Open,2023-09-16,
TKT00147,ACC02944,CON008841,USR0179,Billing,Medium,Open,2024-07-06,
TKT00148,ACC03904,CON011754,USR0148,Configuration,Low,Open,2024-10-27,
TKT00149,ACC02364,CON007074,USR0179,Software Bug,Low,In Progress,2023-02-01,
TKT00150,ACC03694,CON011107,USR0029,Software Bug,Medium,In Progress,2024-09-28,
TKT00151,ACC01627,CON004892,USR0133,Performance,Medium,Open,2024-04-29,
TKT00152,ACC02420,CON007236,USR0048,Billing,Medium,Resolved,2024-04-21,2024-05-04
TKT00153,ACC03070,CON009227,USR0165,Configuration,Medium,Open,2024-09-12,
TKT00154,ACC04352,CON013050,USR0180,Performance,Low,Open,2023-11-15,
TKT00155,ACC04171,CON012524,USR0061,Installation,Medium,Closed,2023-11-16,2023-11-23
TKT00156,ACC02974,CON008936,USR0148,Login Issue,High,In Progress,2023-03-19,
TKT00157,ACC01819,CON005447,USR0101,Configuration,Low,Open,2024-12-01,
TKT00158,ACC04938,CON014819,USR0179,Billing,Low,Closed,2023-12-22,2024-01-02
TKT00159,ACC04597,CON013793,USR0033,Configuration,Critical,Resolved,2024-06-02,2024-06-03
TKT00160,ACC04868,CON014607,USR0188,Feature Request,High,Open,2024-05-16,
TKT00161,ACC03088,CON009277,USR0189,Software Bug,Critical,Closed,2024-10-12,2024-10-24
TKT00162,ACC01050,CON003166,USR0033,Configuration,Critical,Resolved,2023-06-30,2023-07-10
TKT00163,ACC03859,CON011608,USR0029,Installation,High,Closed,2024-04-21,2024-05-05
TKT00164,ACC02692,CON008066,USR0061,Configuration,Low,In Progress,2023-11-27,
TKT00165,ACC03268,CON009828,USR0133,Configuration,Critical,Closed,2023-10-13,2023-10-17
TKT00166,ACC00137,CON000413,USR0048,Login Issue,Critical,Closed,2024-08-06,2024-08-12
TKT00167,ACC00307,CON000929,USR0148,Feature Request,Medium,In Progress,2023-11-29,
TKT00168,ACC00344,CON001050,USR0179,Billing,High,Resolved,2023-12-30,2024-01-05
TKT00169,ACC00158,CON000469,USR0029,Performance,Medium,Open,2024-07-23,
TKT00170,ACC01896,CON005652,USR0148,Installation,Critical,In Progress,2023-03-29,
TKT00171,ACC00743,CON002204,USR0133,Installation,Critical,In Progress,2024-05-15,
TKT00172,ACC01347,CON004061,USR0033,Configuration,Low,Closed,2024-10-23,2024-10-31
TKT00173,ACC00385,CON001172,USR0148,Feature Request,Medium,Resolved,2023-04-06,2023-04-10
TKT00174,ACC00217,CON000661,USR0148,Performance,High,Resolved,2023-11-10,2023-11-18
TKT00175,ACC04212,CON012646,USR0048,Installation,Critical,Resolved,2024-03-11,2024-03-17
TKT00176,ACC01996,CON005965,USR0148,Software Bug,Low,Resolved,2023-10-05,2023-10-10
TKT00177,ACC03806,CON011449,USR0033,Installation,Medium,Resolved,2023-07-17,2023-07-19
TKT00178,ACC01482,CON004482,USR0188,Installation,Critical,In Progress,2023-07-16,
TKT00179,ACC03251,CON009773,USR0148,Configuration,Medium,Resolved,2023-10-11,2023-10-13
TKT00180,ACC04891,CON014672,USR0061,Billing,Medium,In Progress,2023-10-31,
TKT00181,ACC04788,CON014375,USR0048,Installation,Medium,Open,2023-11-06,
TKT00182,ACC04088,CON012292,USR0188,Login Issue,High,Open,2023-10-08,
TKT00183,ACC03364,CON010125,USR0180,Configuration,Low,Closed,2023-05-10,2023-05-12
TKT00184,ACC02342,CON007015,USR0101,Feature Request,Critical,Resolved,2024-08-10,2024-08-18
TKT00185,ACC03701,CON011129,USR0101,Login Issue,High,In Progress,2023-12-15,
TKT00186,ACC00730,CON002166,USR0061,Configuration,Low,Open,2024-05-04,
TKT00187,ACC04012,CON012066,USR0189,Performance,Low,Closed,2024-02-15,2024-02-17
TKT00188,ACC00544,CON001616,USR0101,Configuration,High,In Progress,2023-06-05,
TKT00189,ACC02453,CON007341,USR0048,Login Issue,Critical,In Progress,2023-03-29,
TKT00190,ACC02329,CON006978,USR0133,Configuration,Critical,In Progress,2024-09-12,
TKT00191,ACC00483,CON001449,USR0101,Configuration,Critical,Closed,2024-04-06,2024-04-11
TKT00192,ACC04908,CON014730,USR0189,Performance,Low,Open,2023-11-09,
TKT00193,ACC02707,CON008111,USR0148,Billing,Low,In Progress,2023-08-01,
TKT00194,ACC00332,CON001010,USR0142,Software Bug,Low,In Progress,2023-06-10,
TKT00195,ACC00565,CON001689,USR0165,Feature Request,Critical,Open,2023-06-10,
TKT00196,ACC03478,CON010481,USR0165,Login Issue,Medium,Closed,2024-08-31,2024-09-05
TKT00197,ACC02972,CON008929,USR0188,Configuration,Critical,Resolved,2023-10-23,2023-11-04
TKT00198,ACC03466,CON010432,USR0179,Billing,Medium,In Progress,2023-03-14,
TKT00199,ACC00136,CON000407,USR0165,Performance,Medium,Open,2024-03-11,
TKT00200,ACC00176,CON000525,USR0029,Billing,Medium,In Progress,2024-10-25,
TKT00201,ACC00532,CON001585,USR0061,Software Bug,High,Open,2023-03-15,
TKT00202,ACC00137,CON000413,USR0133,Login Issue,Critical,Resolved,2024-09-01,2024-09-09
TKT00203,ACC02243,CON006721,USR0033,Performance,Critical,Closed,2023-11-08,2023-11-13
TKT00204,ACC00928,CON002800,USR0133,Performance,Low,Open,2024-03-24,
TKT00205,ACC04599,CON013800,USR0148,Billing,Low,Resolved,2024-03-18,2024-03-28
TKT00206,ACC01254,CON003766,USR0033,Installation,Low,In Progress,2023-04-04,
TKT00207,ACC02220,CON006642,USR0133,Login Issue,Medium,Resolved,2024-11-19,2024-11-29
TKT00208,ACC03594,CON010800,USR0189,Billing,Medium,Closed,2024-04-26,2024-05-11
TKT00209,ACC04223,CON012686,USR0179,Configuration,Critical,Closed,2024-08-22,2024-09-02
TKT00210,ACC03394,CON010219,USR0048,Feature Request,High,Closed,2023-04-04,2023-04-10
TKT00211,ACC02190,CON006551,USR0101,Configuration,Medium,Open,2023-11-25,
TKT00212,ACC01490,CON004501,USR0033,Feature Request,High,Closed,2023-12-04,2023-12-16
TKT00213,ACC00465,CON001398,USR0148,Configuration,Low,Closed,2024-11-09,2024-11-23
TKT00214,ACC04401,CON013191,USR0189,Billing,High,Open,2024-04-10,
TKT00215,ACC02395,CON007162,USR0180,Configuration,Critical,Open,2023-11-28,
TKT00216,ACC00219,CON000668,USR0179,Installation,Critical,Open,2024-06-10,
TKT00217,ACC04109,CON012351,USR0180,Software Bug,High,Open,2024-02-28,
TKT00218,ACC03837,CON011544,USR0033,Feature Request,Low,Closed,2024-09-29,2024-10-10
TKT00219,ACC01469,CON004436,USR0179,Software Bug,High,Resolved,2023-07-28,2023-08-06
TKT00220,ACC00792,CON002353,USR0048,Login Issue,Medium,Closed,2024-03-24,2024-03-26
TKT00221,ACC02696,CON008079,USR0148,Login Issue,Critical,Resolved,2023-06-12,2023-06-21
TKT00222,ACC01760,CON005282,USR0033,Configuration,Low,In Progress,2023-04-06,
TKT00223,ACC02740,CON008213,USR0033,Installation,Medium,Open,2024-04-17,
TKT00224,ACC04083,CON012277,USR0133,Installation,High,Resolved,2024-05-25,2024-06-03
TKT00225,ACC02731,CON008184,USR0142,Software Bug,Critical,Closed,2024-03-01,2024-03-09
TKT00226,ACC04733,CON014201,USR0180,Feature Request,Medium,In Progress,2024-07-18,
TKT00227,ACC01790,CON005367,USR0048,Configuration,Low,In Progress,2024-09-05,
TKT00228,ACC03068,CON009222,USR0165,Configuration,High,Closed,2023-10-10,2023-10-16
TKT00229,ACC01601,CON004815,USR0165,Billing,Critical,Resolved,2023-01-03,2023-01-15
TKT00230,ACC04051,CON012180,USR0048,Feature Request,High,Closed,2023-06-02,2023-06-11
TKT00231,ACC02381,CON007128,USR0179,Billing,Medium,Closed,2023-12-07,2023-12-15
TKT00232,ACC01459,CON004401,USR0048,Configuration,Critical,Closed,2023-09-02,2023-09-06
TKT00233,ACC03808,CON011457,USR0133,Feature Request,Critical,Resolved,2023-02-14,2023-02-26
TKT00234,ACC04759,CON014281,USR0029,Feature Request,Low,In Progress,2024-01-31,
TKT00235,ACC00368,CON001126,USR0165,Login Issue,Critical,Resolved,2023-05-10,2023-05-24
TKT00236,ACC00378,CON001145,USR0101,Installation,Medium,Closed,2023-04-13,2023-04-14
TKT00237,ACC02487,CON007439,USR0061,Login Issue,Critical,In Progress,2024-02-24,
TKT00238,ACC03358,CON010108,USR0180,Installation,Critical,Resolved,2023-09-29,2023-10-09
TKT00239,ACC03905,CON011755,USR0189,Configuration,High,Open,2024-10-27,
TKT00240,ACC01035,CON003119,USR0033,Installation,Critical,Closed,2024-11-21,2024-11-27
TKT00241,ACC00508,CON001513,USR0165,Performance,Low,Open,2024-07-08,
TKT00242,ACC00769,CON002289,USR0061,Installation,Low,Resolved,2023-08-29,2023-09-02
TKT00243,ACC01450,CON004368,USR0048,Configuration,Low,Open,2024-03-20,
TKT00244,ACC03906,CON011760,USR0179,Installation,High,In Progress,2024-03-30,
TKT00245,ACC01308,CON003940,USR0189,Billing,Low,Open,2023-01-30,
TKT00246,ACC01572,CON004751,USR0061,Feature Request,Medium,Resolved,2023-10-28,2023-11-03
TKT00247,ACC03109,CON009326,USR0180,Installation,Medium,Closed,2023-09-08,2023-09-18
TKT00248,ACC03640,CON010940,USR0048,Login Issue,Critical,In Progress,2023-06-24,
TKT00249,ACC00468,CON001405,USR0048,Feature Request,Medium,In Progress,2024-09-26,
TKT00250,ACC04745,CON014245,USR0179,Billing,Critical,Closed,2023-08-26,2023-09-06
TKT00251,ACC03632,CON010910,USR0033,Configuration,Critical,Open,2023-09-19,
TKT00252,ACC04490,CON013469,USR0061,Login Issue,Critical,In Progress,2023-10-22,
TKT00253,ACC00486,CON001454,USR0029,Feature Request,High,Resolved,2023-12-20,2023-12-31
TKT00254,ACC00594,CON001776,USR0165,Feature Request,Critical,Resolved,2024-04-12,2024-04-16
TKT00255,ACC00369,CON001128,USR0180,Feature Request,High,In Progress,2023-04-20,
TKT00256,ACC03035,CON009127,USR0029,Billing,Low,Resolved,2024-08-11,2024-08-23
TKT00257,ACC03475,CON010471,USR0148,Login Issue,Low,Closed,2024-11-05,2024-11-10
TKT00258,ACC03898,CON011731,USR0048,Billing,Medium,Closed,2024-09-12,2024-09-26
TKT00259,ACC02242,CON006715,USR0033,Installation,Medium,Resolved,2024-09-13,2024-09-17
TKT00260,ACC00334,CON001014,USR0180,Configuration,Medium,Resolved,2024-09-27,2024-10-08
TKT00261,ACC01369,CON004117,USR0148,Installation,Low,Open,2024-10-05,
TKT00262,ACC03052,CON009170,USR0033,Performance,High,Closed,2023-11-13,2023-11-14
TKT00263,ACC04729,CON014189,USR0165,Billing,High,Open,2023-05-15,
TKT00264,ACC00534,CON001589,USR0048,Software Bug,Medium,In Progress,2024-03-01,
TKT00265,ACC03714,CON011167,USR0033,Performance,High,Resolved,2024-07-06,2024-07-15
TKT00266,ACC02886,CON008646,USR0148,Configuration,Critical,Resolved,2023-06-18,2023-07-03
TKT00267,ACC02956,CON008878,USR0142,Login Issue,Critical,Resolved,2023-10-30,2023-11-12
TKT00268,ACC00599,CON001791,USR0048,Configuration,Medium,In Progress,2023-03-19,
TKT00269,ACC01923,CON005736,USR0148,Configuration,High,Closed,2024-11-23,2024-12-07
TKT00270,ACC03535,CON010647,USR0101,Billing,Low,Closed,2023-04-03,2023-04-04
TKT00271,ACC03348,CON010078,USR0061,Installation,High,Resolved,2024-04-10,2024-04-21
TKT00272,ACC04372,CON013105,USR0189,Installation,High,Closed,2024-08-21,2024-09-04
TKT00273,ACC01939,CON005777,USR0179,Feature Request,Low,In Progress,2023-04-21,
TKT00274,ACC03338,CON010044,USR0061,Performance,Medium,Resolved,2024-09-26,2024-10-11
TKT00275,ACC00822,CON002457,USR0033,Installation,Critical,Open,2024-10-25,
TKT00276,ACC00610,CON001826,USR0179,Software Bug,Low,Closed,2023-11-06,2023-11-08
TKT00277,ACC04850,CON014560,USR0033,Login Issue,Low,Resolved,2023-02-08,2023-02-16
TKT00278,ACC04099,CON012317,USR0142,Feature Request,Critical,In Progress,2023-08-29,
TKT00279,ACC01673,CON005022,USR0179,Installation,Medium,Closed,2024-01-15,2024-01-25
TKT00280,ACC00862,CON002590,USR0148,Configuration,Critical,Open,2024-02-29,
TKT00281,ACC04769,CON014315,USR0133,Login Issue,High,Closed,2024-09-22,2024-09-27
TKT00282,ACC03332,CON010022,USR0179,Software Bug,High,Closed,2023-08-11,2023-08-19
TKT00283,ACC02018,CON006030,USR0048,Installation,High,Resolved,2023-04-12,2023-04-21
TKT00284,ACC04230,CON012707,USR0180,Software Bug,Low,Closed,2023-03-04,2023-03-09
TKT00285,ACC04661,CON013987,USR0101,Installation,Medium,Open,2024-04-10,
TKT00286,ACC03165,CON009503,USR0189,Login Issue,High,Open,2024-10-19,
TKT00287,ACC00056,CON000157,USR0180,Configuration,Medium,In Progress,2023-09-07,
TKT00288,ACC01368,CON004114,USR0033,Performance,Medium,In Progress,2023-03-12,
TKT00289,ACC03102,CON009310,USR0033,Software Bug,Low,Resolved,2023-08-27,2023-09-09
TKT00290,ACC02431,CON007272,USR0101,Software Bug,High,In Progress,2023-10-11,
TKT00291,ACC00142,CON000431,USR0179,Installation,Low,Open,2023-06-28,
TKT00292,ACC02461,CON007367,USR0061,Billing,Medium,Open,2023-05-15,
TKT00293,ACC04327,CON012972,USR0179,Software Bug,High,Resolved,2024-08-25,2024-08-26
TKT00294,ACC02953,CON008865,USR0048,Installation,Critical,In Progress,2023-02-23,
TKT00295,ACC04225,CON012692,USR0189,Installation,Low,Open,2024-06-22,
TKT00296,ACC00792,CON002353,USR0033,Billing,Low,Closed,2024-05-02,2024-05-15
TKT00297,ACC02046,CON006118,USR0101,Performance,Low,In Progress,2024-04-07,
TKT00298,ACC02449,CON007334,USR0033,Installation,Low,Resolved,2024-11-05,2024-11-13
TKT00299,ACC04154,CON012483,USR0188,Feature Request,Critical,Closed,2023-03-04,2023-03-18
TKT00300,ACC03840,CON011555,USR0188,Feature Request,Low,Closed,2023-04-21,2023-05-03
TKT00301,ACC04962,CON014891,USR0101,Software Bug,Low,Resolved,2023-03-24,2023-04-03
TKT00302,ACC04087,CON012289,USR0189,Installation,High,Resolved,2023-05-10,2023-05-20
TKT00303,ACC02222,CON006649,USR0061,Performance,Critical,Resolved,2024-01-26,2024-02-03
TKT00304,ACC03177,CON009544,USR0188,Configuration,Medium,Open,2023-04-12,
TKT00305,ACC02466,CON007377,USR0061,Software Bug,Critical,Closed,2024-03-16,2024-03-31
