InvoiceID,OrderID,InvoiceDate,DueDate,SubTotal,Tax,TotalAmount,PaymentTerms,InvoiceStatus
INV00060,ORD00060,28-01-2025,14-03-2025,56893.05,10240.75,67133.8,Net 45,Paid
INV00061,ORD00061,23-12-2024,07-01-2025,272104.7,48978.85,321083.55,Net 15,Paid
INV00062,ORD00062,25-12-2024,24-01-2025,142441.9,25639.54,168081.44,Net 30,Overdue
INV00063,ORD00063,21-09-2024,05-11-2024,171962.6,30953.27,202915.87,Net 45,Pending
INV00064,ORD00064,02-01-2025,01-02-2025,164792.15,29662.59,194454.74,Net 30,Paid
INV00065,ORD00065,12-08-2024,26-09-2024,96651.6,17397.29,114048.89,Net 45,Paid
INV00066,ORD00066,14-01-2025,13-02-2025,296819.45,53427.5,350246.95,Net 30,Paid
INV00067,ORD00067,19-09-2024,04-10-2024,170829,30749.22,201578.22,Net 15,Paid
INV00068,ORD00068,20-08-2024,04-10-2024,217431.8,39137.72,256569.52,Net 45,Paid
INV00069,ORD00069,29-08-2024,13-09-2024,172810.05,31105.81,203915.86,Net 15,Paid
INV00070,ORD00070,06-08-2024,21-08-2024,103719.6,18669.53,122389.13,Net 15,Paid
INV00071,ORD00071,17-12-2024,16-01-2025,212775.3,38299.55,251074.85,Net 30,Paid
INV00072,ORD00072,04-10-2024,03-11-2024,234979.2,42296.26,277275.46,Net 30,Pending
INV00073,ORD00073,22-09-2024,06-11-2024,170960.8,30772.94,201733.74,Net 45,Paid
INV00074,ORD00074,23-08-2024,07-10-2024,220202.7,39636.49,259839.19,Net 45,Paid
INV00075,ORD00075,12-01-2025,11-02-2025,8310.4,1495.87,9806.27,Net 30,Paid
INV00076,ORD00076,12-12-2024,26-01-2025,8772.45,1579.04,10351.49,Net 45,Paid
INV00077,ORD00077,10-11-2024,10-12-2024,161183.85,29013.09,190196.94,Net 30,Paid
INV00078,ORD00078,24-01-2025,08-02-2025,254738.4,45852.91,300591.31,Net 15,Pending
INV00079,ORD00079,27-09-2024,12-10-2024,43134.7,7764.25,50898.95,Net 15,Paid
INV00080,ORD00080,03-11-2024,03-12-2024,50175.95,9031.67,59207.62,Net 30,Pending
INV00081,ORD00081,23-10-2024,07-11-2024,94302.3,16974.41,111276.71,Net 15,Paid
INV00082,ORD00082,20-09-2024,20-10-2024,264401.9,47592.34,311994.24,Net 30,Paid
INV00083,ORD00083,03-08-2024,02-09-2024,98293.95,17692.91,115986.86,Net 30,Paid
INV00084,ORD00084,07-11-2024,07-12-2024,271993.55,48958.84,320952.39,Net 30,Pending
INV00085,ORD00085,29-09-2024,14-10-2024,191138.9,34405,225543.9,Net 15,Paid
INV00086,ORD00086,21-11-2024,06-12-2024,208539,37537.02,246076.02,Net 15,Overdue
INV00087,ORD00087,01-10-2024,16-10-2024,33797.7,6083.59,39881.29,Net 15,Paid
INV00088,ORD00088,11-11-2024,26-11-2024,264398.5,47591.73,311990.23,Net 15,Overdue
INV00089,ORD00089,23-11-2024,08-12-2024,43862.7,7895.29,51757.99,Net 15,Paid
INV00090,ORD00090,16-12-2024,15-01-2025,252014.75,45362.65,297377.4,Net 30,Overdue
INV00091,ORD00091,16-12-2024,15-01-2025,54788.45,9861.92,64650.37,Net 30,Paid
INV00092,ORD00092,19-10-2024,03-12-2024,275182.5,49532.85,324715.35,Net 45,Pending
INV00093,ORD00093,09-08-2024,24-08-2024,48440.7,8719.33,57160.03,Net 15,Paid
INV00094,ORD00094,29-10-2024,13-11-2024,136102.65,24498.48,160601.13,Net 15,Paid
INV00095,ORD00095,28-10-2024,12-11-2024,49374.5,8887.41,58261.91,Net 15,Pending
INV00096,ORD00096,13-01-2025,28-01-2025,36425.7,6556.63,42982.33,Net 15,Paid
INV00097,ORD00097,01-01-2025,15-02-2025,210161.25,37829.03,247990.28,Net 45,Paid
INV00098,ORD00098,25-10-2024,09-11-2024,86505.4,15570.97,102076.37,Net 15,Overdue
INV00099,ORD00099,21-11-2024,05-01-2025,13891.45,2500.46,16391.91,Net 45,Paid
INV00100,ORD00100,12-08-2024,11-09-2024,286700.55,51606.1,338306.65,Net 30,Paid
INV00101,ORD00101,27-12-2024,11-01-2025,34086.6,6135.59,40222.19,Net 15,Paid
INV00102,ORD00102,14-10-2024,28-11-2024,130027.75,23404.99,153432.74,Net 45,Paid
INV00103,ORD00103,22-10-2024,06-12-2024,140826.45,25348.76,166175.21,Net 45,Paid
INV00104,ORD00104,22-09-2024,22-10-2024,113482.65,20426.88,133909.53,Net 30,Paid
INV00105,ORD00105,18-08-2024,17-09-2024,34160.4,6148.87,40309.27,Net 30,Paid
INV00106,ORD00106,27-12-2024,11-01-2025,122110.05,21979.81,144089.86,Net 15,Pending
INV00107,ORD00107,31-08-2024,30-09-2024,71192.9,12814.72,84007.62,Net 30,Paid
INV00108,ORD00108,08-12-2024,23-12-2024,233666.05,42059.89,275725.94,Net 15,Paid
INV00109,ORD00109,21-12-2024,05-01-2025,93859.75,16894.76,110754.51,Net 15,Paid
INV00110,ORD00110,24-09-2024,08-11-2024,14941.15,2689.41,17630.56,Net 45,Paid
INV00111,ORD00111,03-01-2025,18-01-2025,170905.7,30763.03,201668.73,Net 15,Overdue
INV00112,ORD00112,02-01-2025,01-02-2025,225317.6,40557.17,265874.77,Net 30,Paid
INV00113,ORD00113,21-12-2024,04-02-2025,237373.75,42727.28,280101.03,Net 45,Paid
INV00114,ORD00114,19-09-2024,03-11-2024,43521.15,7833.81,51354.96,Net 45,Paid
INV00115,ORD00115,19-11-2024,19-12-2024,105268.25,18948.28,124216.53,Net 30,Overdue
INV00116,ORD00116,12-12-2024,27-12-2024,74560.05,13420.81,87980.86,Net 15,Paid
INV00117,ORD00117,05-09-2024,20-10-2024,57254.1,10305.74,67559.84,Net 45,Paid
INV00118,ORD00118,01-09-2024,01-10-2024,55567.95,10002.23,65570.18,Net 30,Pending
INV00119,ORD00119,21-08-2024,20-09-2024,75242.85,13543.71,88786.56,Net 30,Paid
INV00120,ORD00120,07-12-2024,06-01-2025,97906.2,17623.12,115529.32,Net 30,Paid
INV00121,ORD00121,16-10-2024,31-10-2024,245026.05,44104.69,289130.74,Net 15,Paid
INV00122,ORD00122,04-08-2024,03-09-2024,146527.25,26374.9,172902.15,Net 30,Paid
INV00123,ORD00123,06-11-2024,21-11-2024,242726.3,43690.73,286417.03,Net 15,Pending
INV00124,ORD00124,02-08-2024,17-08-2024,113832.95,20489.93,134322.88,Net 15,Pending
INV00125,ORD00125,15-08-2024,29-09-2024,52591.5,9466.47,62057.97,Net 45,Paid
INV00126,ORD00126,12-01-2025,27-01-2025,46656.5,8398.17,55054.67,Net 15,Paid
INV00127,ORD00127,13-09-2024,28-09-2024,28950.5,5211.09,34161.59,Net 15,Paid
INV00128,ORD00128,22-08-2024,06-10-2024,147335.25,26520.34,173855.59,Net 45,Paid
INV00129,ORD00129,13-01-2025,28-01-2025,175884.4,31659.19,207543.59,Net 15,Paid
INV00130,ORD00130,15-08-2024,30-08-2024,69523.1,12514.16,82037.26,Net 15,Overdue
INV00131,ORD00131,13-08-2024,27-09-2024,232292.7,41812.69,274105.39,Net 45,Paid
INV00132,ORD00132,09-12-2024,08-01-2025,110063.15,19811.37,129874.52,Net 30,Pending
INV00133,ORD00133,30-01-2025,16-03-2025,62592.25,11266.6,73858.85,Net 45,Pending
INV00134,ORD00134,05-10-2024,20-10-2024,81598.3,14687.69,96285.99,Net 15,Overdue
INV00135,ORD00135,24-09-2024,24-10-2024,299346.35,53882.34,353228.69,Net 30,Paid
INV00136,ORD00136,24-09-2024,24-10-2024,197769.65,35598.54,233368.19,Net 30,Pending
INV00137,ORD00137,31-12-2024,14-02-2025,147130.7,26483.53,173614.23,Net 45,Overdue
INV00138,ORD00138,23-11-2024,23-12-2024,173866.5,31295.97,205162.47,Net 30,Paid
INV00139,ORD00139,12-01-2025,27-01-2025,255255,45945.9,301200.9,Net 15,Paid
INV00140,ORD00140,05-01-2025,04-02-2025,37893.05,6820.75,44713.8,Net 30,Paid
INV00141,ORD00141,03-10-2024,02-11-2024,185206.05,33337.09,218543.14,Net 30,Paid
INV00142,ORD00142,26-12-2024,10-01-2025,257879.7,46418.35,304298.05,Net 15,Paid
INV00143,ORD00143,25-12-2024,24-01-2025,264070.8,47532.74,311603.54,Net 30,Paid
INV00144,ORD00144,31-08-2024,30-09-2024,232295.95,41813.27,274109.22,Net 30,Paid
INV00145,ORD00145,25-12-2024,24-01-2025,46496.55,8369.38,54865.93,Net 30,Pending
INV00146,ORD00146,04-12-2024,03-01-2025,8496.6,1529.39,10025.99,Net 30,Overdue
INV00147,ORD00147,31-08-2024,30-09-2024,230438.45,41478.92,271917.37,Net 30,Paid
INV00148,ORD00148,25-12-2024,09-01-2025,122700.85,22086.15,144787,Net 15,Paid
INV00149,ORD00149,04-09-2024,04-10-2024,166362.95,29945.33,196308.28,Net 30,Pending
INV00150,ORD00150,22-11-2024,22-12-2024,35743.55,6433.84,42177.39,Net 30,Pending
INV00151,ORD00151,01-01-2025,16-01-2025,242376.6,43627.79,286004.39,Net 15,Paid
INV00152,ORD00152,30-11-2024,15-12-2024,287722.55,51790.06,339512.61,Net 15,Paid
INV00153,ORD00153,23-01-2025,22-02-2025,124800.65,22464.12,147264.77,Net 30,Paid
INV00154,ORD00154,18-12-2024,01-02-2025,142315.55,25616.8,167932.35,Net 45,Pending
INV00155,ORD00155,17-11-2024,01-01-2025,57769.55,10398.52,68168.07,Net 45,Pending
INV00156,ORD00156,27-09-2024,27-10-2024,182222.4,32800.03,215022.43,Net 30,Paid
INV00157,ORD00157,14-12-2024,13-01-2025,31329.1,5639.24,36968.34,Net 30,Pending
INV00158,ORD00158,13-12-2024,28-12-2024,93699.5,16865.91,110565.41,Net 15,Pending
INV00159,ORD00159,25-09-2024,09-11-2024,136186,24513.48,160699.48,Net 45,Paid
INV00160,ORD00160,04-11-2024,04-12-2024,109177.85,19652.01,128829.86,Net 30,Paid
INV00161,ORD00161,21-01-2025,07-03-2025,161821.95,29127.95,190949.9,Net 45,Paid
INV00162,ORD00162,20-01-2025,06-03-2025,165926.4,29866.75,195793.15,Net 45,Overdue
INV00163,ORD00163,06-12-2024,20-01-2025,126949.2,22850.86,149800.06,Net 45,Overdue
INV00164,ORD00164,27-08-2024,11-10-2024,128411.1,23114,151525.1,Net 45,Paid
INV00165,ORD00165,06-12-2024,21-12-2024,234426.6,42196.79,276623.39,Net 15,Paid
INV00166,ORD00166,07-12-2024,06-01-2025,229350.4,41283.07,270633.47,Net 30,Pending
INV00167,ORD00167,25-12-2024,08-02-2025,244727.6,44050.97,288778.57,Net 45,Paid
INV00168,ORD00168,22-12-2024,21-01-2025,221889,39940.02,261829.02,Net 30,Pending
INV00169,ORD00169,22-08-2024,21-09-2024,28512.15,5132.19,33644.34,Net 30,Pending
INV00170,ORD00170,28-11-2024,13-12-2024,288445.8,51920.24,340366.04,Net 15,Pending
INV00171,ORD00171,18-06-2023,02-08-2023,140563.2,25301.38,165864.58,Net 45,Pending
INV00172,ORD00172,23-05-2023,22-06-2023,241474.8,43465.46,284940.26,Net 30,Paid
INV00173,ORD00173,27-07-2023,10-09-2023,31973.25,5755.18,37728.43,Net 45,Paid
INV00174,ORD00174,01-07-2023,16-07-2023,250788.4,45141.91,295930.31,Net 15,Paid
INV00175,ORD00175,23-05-2023,22-06-2023,243893.45,43900.82,287794.27,Net 30,Pending
INV00176,ORD00176,01-06-2023,01-07-2023,283424.05,51016.33,334440.38,Net 30,Paid
INV00177,ORD00177,06-06-2023,21-07-2023,53650.6,9657.11,63307.71,Net 45,Paid
INV00178,ORD00178,03-07-2023,02-08-2023,139218.5,25059.33,164277.83,Net 30,Paid
INV00179,ORD00179,10-07-2023,25-07-2023,131528.25,23675.08,155203.33,Net 15,Pending
INV00180,ORD00180,06-05-2023,21-05-2023,49846.95,8972.45,58819.4,Net 15,Pending
INV00181,ORD00181,30-06-2023,15-07-2023,46182.65,8312.88,54495.53,Net 15,Pending
INV00182,ORD00182,05-08-2023,19-09-2023,9945.65,1790.22,11735.87,Net 45,Paid
INV00183,ORD00183,25-06-2023,10-07-2023,174841.35,31471.44,206312.79,Net 15,Overdue
INV00184,ORD00184,23-05-2023,22-06-2023,65813.4,11846.41,77659.81,Net 30,Paid
INV00185,ORD00185,24-06-2023,08-08-2023,279600,50328,329928,Net 45,Paid
INV00186,ORD00186,03-05-2023,17-06-2023,74073.35,13333.2,87406.55,Net 45,Paid
INV00187,ORD00187,03-07-2023,17-08-2023,14738.85,2652.99,17391.84,Net 45,Pending
INV00188,ORD00188,11-06-2023,11-07-2023,15010.25,2701.84,17712.09,Net 30,Pending
INV00189,ORD00189,08-06-2023,08-07-2023,141031.3,25385.63,166416.93,Net 30,Overdue
INV00190,ORD00190,29-06-2023,29-07-2023,96762.35,17417.22,114179.57,Net 30,Paid
INV00191,ORD00191,22-11-2024,06-01-2025,173838.6,31290.95,205129.55,Net 45,Paid
INV00192,ORD00192,26-11-2024,26-12-2024,259723.85,46750.29,306474.14,Net 30,Pending
INV00193,ORD00193,03-09-2024,03-10-2024,20839,3751.02,24590.02,Net 30,Paid
INV00194,ORD00194,16-12-2024,31-12-2024,134872.05,24276.97,159149.02,Net 15,Paid
INV00195,ORD00195,13-09-2024,28-10-2024,132533.7,23856.07,156389.77,Net 45,Paid
INV00196,ORD00196,24-11-2024,09-12-2024,145413.95,26174.51,171588.46,Net 15,Paid
INV00197,ORD00197,29-09-2024,13-11-2024,225633.65,40614.06,266247.71,Net 45,Paid
INV00198,ORD00198,01-10-2024,31-10-2024,178357.35,32104.32,210461.67,Net 30,Paid
INV00199,ORD00199,22-09-2024,22-10-2024,71270.9,12828.76,84099.66,Net 30,Paid
INV00200,ORD00200,16-11-2024,16-12-2024,125250.9,22545.16,147796.06,Net 30,Overdue
INV00201,ORD00201,14-09-2024,29-10-2024,236862.6,42635.27,279497.87,Net 45,Paid
INV00202,ORD00202,16-10-2024,15-11-2024,160740,28933.2,189673.2,Net 30,Paid
INV00203,ORD00203,07-11-2024,07-12-2024,183374.4,33007.39,216381.79,Net 30,Pending
INV00204,ORD00204,13-12-2024,27-01-2025,157095.35,28277.16,185372.51,Net 45,Pending
INV00205,ORD00205,11-01-2025,25-02-2025,95677.1,17221.88,112898.98,Net 45,Overdue
INV00206,ORD00206,11-09-2024,26-09-2024,247691.05,44584.39,292275.44,Net 15,Paid
INV00207,ORD00207,20-11-2024,05-12-2024,37138,6684.84,43822.84,Net 15,Paid
INV00208,ORD00208,16-01-2025,02-03-2025,5492.1,988.58,6480.68,Net 45,Pending
INV00209,ORD00209,28-09-2024,13-10-2024,206341.85,37141.53,243483.38,Net 15,Pending
INV00210,ORD00210,10-12-2024,24-01-2025,294434.75,52998.25,347433,Net 45,Paid
INV00211,ORD00211,23-01-2025,09-03-2025,168323.55,30298.24,198621.79,Net 45,Paid
INV00212,ORD00212,25-10-2024,09-11-2024,43905.6,7903.01,51808.61,Net 15,Pending
INV00213,ORD00213,13-12-2024,12-01-2025,40988.7,7377.97,48366.67,Net 30,Paid
INV00214,ORD00214,20-01-2025,19-02-2025,168917,30405.06,199322.06,Net 30,Paid
INV00215,ORD00215,01-11-2024,01-12-2024,259011.05,46621.99,305633.04,Net 30,Paid
INV00216,ORD00216,01-09-2024,01-10-2024,63025.25,11344.55,74369.8,Net 30,Pending
INV00217,ORD00217,23-10-2024,22-11-2024,189718.45,34149.32,223867.77,Net 30,Pending
INV00218,ORD00218,18-01-2025,02-02-2025,249858.75,44974.57,294833.32,Net 15,Pending
INV00219,ORD00219,10-11-2024,10-12-2024,94504.75,17010.85,111515.6,Net 30,Paid
INV00220,ORD00220,28-09-2024,12-11-2024,56349.9,10142.98,66492.88,Net 45,Paid
INV00221,ORD00221,23-01-2025,07-02-2025,21941.9,3949.54,25891.44,Net 15,Paid
INV00222,ORD00222,03-12-2024,17-01-2025,219476.85,39505.83,258982.68,Net 45,Paid
INV00223,ORD00223,14-09-2024,14-10-2024,102872.95,18517.13,121390.08,Net 30,Pending
INV00224,ORD00224,12-09-2024,27-09-2024,181128.1,32603.06,213731.16,Net 15,Paid
INV00225,ORD00225,04-12-2024,03-01-2025,242367.75,43626.19,285993.94,Net 30,Paid
INV00226,ORD00226,14-09-2024,29-10-2024,245747,44234.46,289981.46,Net 45,Pending
INV00227,ORD00227,21-12-2024,20-01-2025,38518.4,6933.31,45451.71,Net 30,Paid
INV00228,ORD00228,25-08-2024,24-09-2024,243332.6,43799.87,287132.47,Net 30,Paid
INV00229,ORD00229,10-10-2024,09-11-2024,12098.4,2177.71,14276.11,Net 30,Overdue
INV00230,ORD00230,28-10-2024,12-11-2024,275307.7,49555.39,324863.09,Net 15,Paid
INV00231,ORD00231,05-01-2025,20-01-2025,106401.2,19152.22,125553.42,Net 15,Paid
INV00232,ORD00232,01-10-2024,15-11-2024,239272.35,43069.02,282341.37,Net 45,Pending
INV00233,ORD00233,19-09-2024,03-11-2024,214467.95,38604.23,253072.18,Net 45,Pending
INV00234,ORD00234,15-12-2024,29-01-2025,16361.35,2945.04,19306.39,Net 45,Paid
INV00235,ORD00235,13-09-2024,28-09-2024,26243.5,4723.83,30967.33,Net 15,Paid
INV00236,ORD00236,16-11-2024,01-12-2024,245908.4,44263.51,290171.91,Net 15,Pending
INV00237,ORD00237,25-08-2024,09-09-2024,202893.4,36520.81,239414.21,Net 15,Paid
INV00238,ORD00238,20-01-2025,06-03-2025,261546.85,47078.43,308625.28,Net 45,Overdue
INV00239,ORD00239,19-12-2024,02-02-2025,112147.05,20186.47,132333.52,Net 45,Paid
INV00240,ORD00240,12-07-2023,26-08-2023,196568.3,35382.29,231950.59,Net 45,Paid
INV00241,ORD00241,07-08-2023,06-09-2023,235436.45,42378.56,277815.01,Net 30,Pending
INV00242,ORD00242,09-05-2023,08-06-2023,277428.1,49937.06,327365.16,Net 30,Paid
INV00243,ORD00243,02-08-2023,16-09-2023,140918.25,25365.28,166283.53,Net 45,Paid
INV00244,ORD00244,09-08-2023,24-08-2023,191732.15,34511.79,226243.94,Net 15,Paid
INV00245,ORD00245,12-08-2023,27-08-2023,237131.35,42683.64,279814.99,Net 15,Pending
INV00246,ORD00246,02-07-2023,16-08-2023,246783.4,44421.01,291204.41,Net 45,Pending
INV00247,ORD00247,14-06-2023,29-06-2023,12742.3,2293.61,15035.91,Net 15,Paid
INV00248,ORD00248,22-07-2023,06-08-2023,131371.7,23646.91,155018.61,Net 15,Paid
INV00249,ORD00249,11-05-2023,10-06-2023,96453.15,17361.57,113814.72,Net 30,Paid
INV00250,ORD00250,01-08-2023,15-09-2023,163816.3,29486.93,193303.23,Net 45,Overdue
INV00251,ORD00251,10-06-2023,25-06-2023,129250.4,23265.07,152515.47,Net 15,Paid
INV00252,ORD00252,10-06-2023,25-06-2023,178002,32040.36,210042.36,Net 15,Paid
INV00253,ORD00253,25-06-2023,25-07-2023,53496.45,9629.36,63125.81,Net 30,Paid
INV00254,ORD00254,11-07-2023,25-08-2023,147193.1,26494.76,173687.86,Net 45,Paid
INV00255,ORD00255,01-07-2023,31-07-2023,63873.1,11497.16,75370.26,Net 30,Paid
INV00256,ORD00256,29-04-2023,14-05-2023,106562.7,19181.29,125743.99,Net 15,Paid
INV00257,ORD00257,20-07-2023,03-09-2023,208591.55,37546.48,246138.03,Net 45,Paid
INV00258,ORD00258,18-06-2023,02-08-2023,220731.45,39731.66,260463.11,Net 45,Paid
INV00259,ORD00259,30-05-2023,14-07-2023,122374.15,22027.35,144401.5,Net 45,Paid
INV00260,ORD00260,08-07-2023,22-08-2023,235882,42458.76,278340.76,Net 45,Paid
INV00261,ORD00261,03-06-2023,03-07-2023,99635.45,17934.38,117569.83,Net 30,Paid
INV00262,ORD00262,19-06-2023,04-07-2023,72932.4,13127.83,86060.23,Net 15,Paid
INV00263,ORD00263,23-06-2023,23-07-2023,187948.75,33830.78,221779.53,Net 30,Paid
INV00264,ORD00264,14-05-2023,28-06-2023,187974.6,33835.43,221810.03,Net 45,Paid
INV00265,ORD00265,07-05-2023,21-06-2023,137728,24791.04,162519.04,Net 45,Paid
INV00266,ORD00266,05-08-2023,19-09-2023,55243.5,9943.83,65187.33,Net 45,Overdue
INV00267,ORD00267,28-07-2023,11-09-2023,99075.35,17833.56,116908.91,Net 45,Paid
INV00268,ORD00268,28-06-2023,13-07-2023,295630,53213.4,348843.4,Net 15,Paid
INV00269,ORD00269,05-07-2023,20-07-2023,15091.8,2716.52,17808.32,Net 15,Paid
INV00270,ORD00270,14-08-2023,28-09-2023,84579,15224.22,99803.22,Net 45,Paid
INV00271,ORD00271,23-05-2023,07-06-2023,96681.75,17402.72,114084.47,Net 15,Paid
INV00272,ORD00272,16-05-2023,31-05-2023,153998.75,27719.77,181718.52,Net 15,Pending
INV00273,ORD00273,10-05-2023,25-05-2023,240657.8,43318.4,283976.2,Net 15,Overdue
INV00274,ORD00274,01-08-2023,31-08-2023,33922.95,6106.13,40029.08,Net 30,Paid
INV00275,ORD00275,19-07-2023,18-08-2023,263724.75,47470.46,311195.21,Net 30,Paid
INV00276,ORD00276,03-07-2023,02-08-2023,290803.65,52344.66,343148.31,Net 30,Overdue
INV00277,ORD00277,15-07-2023,30-07-2023,201860.4,36334.87,238195.27,Net 15,Pending
INV00278,ORD00278,09-07-2023,08-08-2023,72927,13126.86,86053.86,Net 30,Paid
INV00279,ORD00279,30-07-2023,13-09-2023,282589.15,50866.05,333455.2,Net 45,Paid
INV00280,ORD00280,23-08-2023,07-10-2023,5516.5,992.97,6509.47,Net 45,Overdue
INV00281,ORD00281,26-05-2023,10-06-2023,166945.35,30050.16,196995.51,Net 15,Paid
INV00282,ORD00282,23-06-2023,07-08-2023,250049.1,45008.84,295057.94,Net 45,Paid
INV00283,ORD00283,02-05-2023,17-05-2023,196601.25,35388.22,231989.47,Net 15,Pending
