PaymentID,InvoiceID,PaymentDate,PaymentMethod,AmountPaid,BalanceAmount,PaymentStatus
PAY00038,INV00038,2024-08-02,Bank Transfer,314430.47,0.0,Paid
PAY00039,INV00039,2024-06-24,Cheque,102960.25,0.0,Paid
PAY00040,INV00040,2024-06-30,Bank Transfer,86790.82,27233.7,Partial
PAY00041,INV00041,2024-06-17,UPI,136637.69,0.0,Paid
PAY00042,INV00042,2024-07-02,Cheque,129001.85,0.0,Paid
PAY00043,INV00043,2024-06-06,Debit Card,25963.31,16979.01,Partial
PAY00044,INV00044,2024-06-08,Credit Card,147491.48,96458.3,Partial
PAY00045,INV00045,2024-06-27,Cheque,329408.5,0.0,Paid
PAY00046,INV00046,,Cheque,0.0,195038.48,Pending
PAY00047,INV00047,,Cheque,0.0,46817.92,Pending
PAY00048,INV00048,2024-05-31,Bank Transfer,292241.46,0.0,Paid
PAY00049,INV00049,,Debit Card,0.0,250499.25,Pending
PAY00050,INV00050,2024-07-30,Cheque,267338.03,0.0,Paid
PAY00051,INV00051,,Bank Transfer,0.0,68740.84,Pending
PAY00052,INV00052,2024-07-24,Credit Card,232618.34,61979.22,Partial
PAY00053,INV00053,2024-06-25,Cheque,299420.28,0.0,Paid
PAY00054,INV00054,2024-07-28,Cheque,34693.18,0.0,Paid
PAY00055,INV00055,2024-12-05,Cheque,309851.89,0.0,Paid
PAY00056,INV00056,2025-01-11,UPI,107425.74,43047.21,Partial
PAY00057,INV00057,,Debit Card,0.0,244750.76,Pending
PAY00058,INV00058,2024-08-27,UPI,127645.79,0.0,Paid
PAY00059,INV00059,2024-08-13,Bank Transfer,188085.27,0.0,Paid
PAY00060,INV00060,2025-02-16,Cheque,67133.8,0.0,Paid
PAY00061,INV00061,2024-12-31,Bank Transfer,321083.55,0.0,Paid
PAY00062,INV00062,2024-12-27,Credit Card,168081.44,0.0,Paid
PAY00063,INV00063,2024-09-23,Debit Card,202915.87,0.0,Paid
PAY00064,INV00064,2025-01-10,Debit Card,194454.74,0.0,Paid
PAY00065,INV00065,2024-08-19,Cheque,114048.89,0.0,Paid
PAY00066,INV00066,2025-02-02,Cheque,350246.95,0.0,Paid
PAY00067,INV00067,2024-10-05,UPI,201578.22,0.0,Paid
PAY00068,INV00068,2024-08-24,UPI,256569.52,0.0,Paid
PAY00069,INV00069,2024-09-12,UPI,203915.86,0.0,Paid
PAY00070,INV00070,2024-08-10,Bank Transfer,40694.72,81694.41,Partial
PAY00071,INV00071,2024-12-28,Bank Transfer,251074.85,0.0,Paid
PAY00072,INV00072,2024-10-11,Cheque,277275.46,0.0,Paid
PAY00073,INV00073,2024-10-06,Credit Card,201733.74,0.0,Paid
PAY00074,INV00074,2024-08-31,Bank Transfer,259839.19,0.0,Paid
PAY00075,INV00075,2025-01-30,Bank Transfer,9806.27,0.0,Paid
PAY00076,INV00076,2024-12-30,Bank Transfer,10351.49,0.0,Paid
PAY00077,INV00077,,Credit Card,0.0,190196.94,Pending
PAY00078,INV00078,2025-02-09,UPI,300591.31,0.0,Paid
PAY00079,INV00079,2024-10-10,Bank Transfer,50898.95,0.0,Paid
PAY00080,INV00080,2024-11-04,UPI,59207.62,0.0,Paid
PAY00081,INV00081,2024-11-07,Debit Card,111276.71,0.0,Paid
PAY00082,INV00082,2024-10-08,UPI,311994.24,0.0,Paid
PAY00083,INV00083,2024-08-13,Credit Card,115986.86,0.0,Paid
PAY00084,INV00084,,Cheque,0.0,320952.39,Pending
PAY00085,INV00085,2024-10-10,Bank Transfer,75912.34,149631.56,Partial
PAY00086,INV00086,2024-12-07,Cheque,246076.02,0.0,Paid
PAY00087,INV00087,,Cheque,0.0,39881.29,Pending
PAY00088,INV00088,2024-11-28,Bank Transfer,311990.23,0.0,Paid
PAY00089,INV00089,2024-11-26,Credit Card,17655.31,34102.68,Partial
PAY00090,INV00090,2025-01-04,Credit Card,297377.4,0.0,Paid
PAY00091,INV00091,2024-12-18,Cheque,64650.37,0.0,Paid
PAY00092,INV00092,2024-11-07,Cheque,324715.35,0.0,Paid
PAY00093,INV00093,2024-08-18,Credit Card,57160.03,0.0,Paid
PAY00094,INV00094,2024-11-09,Credit Card,160601.13,0.0,Paid
PAY00095,INV00095,2024-11-02,Debit Card,58261.91,0.0,Paid
PAY00096,INV00096,2025-01-16,Bank Transfer,42982.33,0.0,Paid
PAY00097,INV00097,2025-01-20,Bank Transfer,247990.28,0.0,Paid
PAY00098,INV00098,2024-11-01,Cheque,102076.37,0.0,Paid
PAY00099,INV00099,2024-12-03,Bank Transfer,16391.91,0.0,Paid
PAY00100,INV00100,2024-08-18,UPI,176500.08,161806.57,Partial
PAY00101,INV00101,2025-01-16,Cheque,29045.41,11176.78,Partial
PAY00102,INV00102,2024-11-01,Debit Card,153432.74,0.0,Paid
PAY00103,INV00103,,Bank Transfer,0.0,166175.21,Pending
PAY00104,INV00104,,Credit Card,0.0,133909.53,Pending
PAY00105,INV00105,2024-08-22,Cheque,40309.27,0.0,Paid
PAY00106,INV00106,2025-01-06,Cheque,144089.86,0.0,Paid
PAY00107,INV00107,2024-09-11,Credit Card,84007.62,0.0,Paid
PAY00108,INV00108,2024-12-17,Cheque,275725.94,0.0,Paid
PAY00109,INV00109,2024-12-23,Bank Transfer,110754.51,0.0,Paid
PAY00110,INV00110,2024-10-03,Bank Transfer,17630.56,0.0,Paid
PAY00111,INV00111,2025-01-08,Debit Card,201668.73,0.0,Paid
PAY00112,INV00112,2025-01-17,Cheque,265874.77,0.0,Paid
PAY00113,INV00113,2024-12-25,Bank Transfer,178296.66,101804.37,Partial
PAY00114,INV00114,,Credit Card,0.0,51354.96,Pending
PAY00115,INV00115,2024-12-01,Cheque,124216.53,0.0,Paid
PAY00116,INV00116,2024-12-26,Credit Card,87980.86,0.0,Paid
PAY00117,INV00117,2024-09-17,Bank Transfer,67559.84,0.0,Paid
PAY00118,INV00118,2024-09-09,Bank Transfer,27935.91,37634.27,Partial
PAY00119,INV00119,2024-09-08,UPI,88786.56,0.0,Paid
PAY00120,INV00120,,Credit Card,0.0,115529.32,Pending
PAY00121,INV00121,,Credit Card,0.0,289130.74,Pending
PAY00122,INV00122,2024-08-10,UPI,153143.52,19758.63,Partial
PAY00123,INV00123,2024-11-17,UPI,286417.03,0.0,Paid
PAY00124,INV00124,2024-08-10,Debit Card,109935.01,24387.87,Partial
PAY00125,INV00125,2024-08-19,UPI,62057.97,0.0,Paid
PAY00126,INV00126,2025-01-20,Credit Card,44878.14,10176.53,Partial
PAY00127,INV00127,2024-09-23,Credit Card,19683.29,14478.3,Partial
PAY00128,INV00128,2024-08-29,UPI,173855.59,0.0,Paid
PAY00129,INV00129,2025-01-16,Debit Card,207543.59,0.0,Paid
PAY00130,INV00130,2024-09-01,UPI,82037.26,0.0,Paid
PAY00131,INV00131,2024-08-31,Debit Card,274105.39,0.0,Paid
PAY00132,INV00132,,Bank Transfer,0.0,129874.52,Pending
PAY00133,INV00133,2025-02-18,Debit Card,33733.49,40125.36,Partial
PAY00134,INV00134,2024-10-25,UPI,96285.99,0.0,Paid
PAY00135,INV00135,2024-10-05,UPI,353228.69,0.0,Paid
PAY00136,INV00136,2024-10-11,Bank Transfer,233368.19,0.0,Paid
PAY00137,INV00137,2025-01-19,Credit Card,173614.23,0.0,Paid
PAY00138,INV00138,2024-12-07,Bank Transfer,205162.47,0.0,Paid
PAY00139,INV00139,2025-01-30,Credit Card,301200.9,0.0,Paid
PAY00140,INV00140,2025-01-08,Debit Card,44713.8,0.0,Paid
PAY00141,INV00141,2024-10-07,Debit Card,218543.14,0.0,Paid
PAY00142,INV00142,2025-01-09,Debit Card,304298.05,0.0,Paid
PAY00143,INV00143,2025-01-04,Cheque,311603.54,0.0,Paid
PAY00144,INV00144,2024-09-14,UPI,274109.22,0.0,Paid
PAY00145,INV00145,2024-12-31,Cheque,54865.93,0.0,Paid
PAY00146,INV00146,2024-12-17,Cheque,10025.99,0.0,Paid
PAY00147,INV00147,2024-09-07,UPI,131152.54,140764.83,Partial
PAY00148,INV00148,2025-01-05,UPI,96138.13,48648.87,Partial
PAY00149,INV00149,2024-09-11,Cheque,196308.28,0.0,Paid
PAY00150,INV00150,2024-11-28,Bank Transfer,42177.39,0.0,Paid
PAY00151,INV00151,2025-01-21,Debit Card,286004.39,0.0,Paid
PAY00152,INV00152,2024-12-08,Debit Card,339512.61,0.0,Paid
PAY00153,INV00153,2025-01-30,Credit Card,147264.77,0.0,Paid
PAY00154,INV00154,2024-12-26,UPI,167932.35,0.0,Paid
PAY00155,INV00155,2024-11-20,UPI,68168.07,0.0,Paid
PAY00156,INV00156,2024-10-16,Credit Card,215022.43,0.0,Paid
PAY00157,INV00157,2024-12-27,Credit Card,19607.53,17360.81,Partial
PAY00158,INV00158,2024-12-14,Bank Transfer,110565.41,0.0,Paid
PAY00159,INV00159,2024-10-12,UPI,69310.44,91389.04,Partial
PAY00160,INV00160,2024-11-12,Bank Transfer,128829.86,0.0,Paid
PAY00161,INV00161,2025-02-05,Cheque,190949.9,0.0,Paid
PAY00162,INV00162,,Cheque,0.0,195793.15,Pending
PAY00163,INV00163,2024-12-21,Cheque,149800.06,0.0,Paid
PAY00164,INV00164,2024-09-10,Cheque,126555.61,24969.49,Partial
PAY00165,INV00165,2024-12-12,UPI,276623.39,0.0,Paid
PAY00166,INV00166,2024-12-15,Debit Card,270633.47,0.0,Paid
PAY00167,INV00167,2025-01-02,Debit Card,176957.7,111820.87,Partial
PAY00168,INV00168,2025-01-01,Credit Card,261829.02,0.0,Paid
PAY00169,INV00169,2024-09-02,Cheque,33644.34,0.0,Paid
PAY00170,INV00170,2024-12-03,Credit Card,340366.04,0.0,Paid
PAY00171,INV00171,2023-06-23,Credit Card,165864.58,0.0,Paid
PAY00172,INV00172,2023-06-06,Debit Card,284940.26,0.0,Paid
PAY00173,INV00173,2023-08-10,Bank Transfer,37728.43,0.0,Paid
PAY00174,INV00174,2023-07-15,UPI,295930.31,0.0,Paid
PAY00175,INV00175,,Cheque,0.0,287794.27,Pending
PAY00176,INV00176,,Bank Transfer,0.0,334440.38,Pending
PAY00177,INV00177,2023-06-19,UPI,48073.14,15234.57,Partial
PAY00178,INV00178,2023-07-15,Debit Card,164277.83,0.0,Paid
PAY00179,INV00179,2023-07-24,Cheque,126035.78,29167.55,Partial
PAY00180,INV00180,2023-05-26,Credit Card,36919.72,21899.68,Partial
PAY00181,INV00181,2023-07-09,UPI,54495.53,0.0,Paid
PAY00182,INV00182,2023-08-18,Debit Card,11735.87,0.0,Paid
PAY00183,INV00183,2023-07-08,Credit Card,206312.79,0.0,Paid
PAY00184,INV00184,2023-06-12,Cheque,66144.8,11515.01,Partial
PAY00185,INV00185,2023-07-07,Cheque,329928.0,0.0,Paid
PAY00186,INV00186,2023-05-04,Bank Transfer,87406.55,0.0,Paid
PAY00187,INV00187,2023-07-08,UPI,17391.84,0.0,Paid
PAY00188,INV00188,2023-06-20,UPI,17712.09,0.0,Paid
PAY00189,INV00189,2023-06-23,Debit Card,166416.93,0.0,Paid
PAY00190,INV00190,2023-07-12,Debit Card,114179.57,0.0,Paid
PAY00191,INV00191,2024-12-01,Bank Transfer,163930.22,41199.33,Partial
PAY00192,INV00192,2024-12-14,Bank Transfer,306474.14,0.0,Paid
PAY00193,INV00193,,Debit Card,0.0,24590.02,Pending
PAY00194,INV00194,2024-12-19,Bank Transfer,159149.02,0.0,Paid
PAY00195,INV00195,2024-09-20,Bank Transfer,136022.67,20367.1,Partial
PAY00196,INV00196,2024-12-02,Credit Card,171588.46,0.0,Paid
PAY00197,INV00197,2024-10-03,Cheque,266247.71,0.0,Paid
PAY00198,INV00198,,UPI,0.0,210461.67,Pending
PAY00199,INV00199,2024-10-04,Credit Card,84099.66,0.0,Paid
PAY00200,INV00200,2024-11-20,Credit Card,147796.06,0.0,Paid
PAY00201,INV00201,,Bank Transfer,0.0,279497.87,Pending
PAY00202,INV00202,2024-10-26,Cheque,189673.2,0.0,Paid
PAY00203,INV00203,2024-11-20,UPI,216381.79,0.0,Paid
PAY00204,INV00204,,Credit Card,0.0,185372.51,Pending
PAY00205,INV00205,2025-01-19,Bank Transfer,112898.98,0.0,Paid
PAY00206,INV00206,2024-09-21,Cheque,292275.44,0.0,Paid
PAY00207,INV00207,2024-12-09,Bank Transfer,34082.61,9740.23,Partial
PAY00208,INV00208,2025-01-30,Debit Card,6480.68,0.0,Paid
PAY00209,INV00209,2024-10-09,Bank Transfer,243483.38,0.0,Paid
PAY00210,INV00210,2024-12-14,UPI,275652.84,71780.16,Partial
PAY00211,INV00211,,UPI,0.0,198621.79,Pending
PAY00212,INV00212,2024-11-11,Debit Card,29079.77,22728.84,Partial
PAY00213,INV00213,2024-12-31,UPI,48366.67,0.0,Paid
PAY00214,INV00214,2025-02-08,Debit Card,199322.06,0.0,Paid
PAY00215,INV00215,2024-11-09,Bank Transfer,305633.04,0.0,Paid
PAY00216,INV00216,2024-09-16,Credit Card,74369.8,0.0,Paid
PAY00217,INV00217,2024-11-05,Debit Card,143702.91,80164.86,Partial
PAY00218,INV00218,2025-01-29,Credit Card,294833.32,0.0,Paid
PAY00219,INV00219,2024-11-22,Debit Card,111515.6,0.0,Paid
PAY00220,INV00220,2024-10-18,Debit Card,66492.88,0.0,Paid
PAY00221,INV00221,2025-02-09,Credit Card,25891.44,0.0,Paid
PAY00222,INV00222,2024-12-17,UPI,258982.68,0.0,Paid
PAY00223,INV00223,2024-09-22,UPI,121390.08,0.0,Paid
PAY00224,INV00224,2024-09-28,UPI,213731.16,0.0,Paid
PAY00225,INV00225,2024-12-12,UPI,101765.8,184228.14,Partial
PAY00226,INV00226,2024-09-24,Cheque,289981.46,0.0,Paid
PAY00227,INV00227,2025-01-08,Cheque,45451.71,0.0,Paid
PAY00228,INV00228,2024-09-12,Debit Card,287132.47,0.0,Paid
PAY00229,INV00229,2024-10-25,Debit Card,14276.11,0.0,Paid
PAY00230,INV00230,2024-11-05,Bank Transfer,324863.09,0.0,Paid
PAY00231,INV00231,2025-01-23,Credit Card,61436.9,64116.52,Partial
PAY00232,INV00232,2024-10-17,Debit Card,282341.37,0.0,Paid
PAY00233,INV00233,2024-10-06,Cheque,224212.89,28859.29,Partial
PAY00234,INV00234,2024-12-19,Credit Card,19306.39,0.0,Paid
PAY00235,INV00235,2024-09-25,Credit Card,30967.33,0.0,Paid
PAY00236,INV00236,2024-12-04,Credit Card,290171.91,0.0,Paid
PAY00237,INV00237,2024-08-27,Cheque,239414.21,0.0,Paid
PAY00238,INV00238,2025-01-25,UPI,308625.28,0.0,Paid
PAY00239,INV00239,2024-12-20,Cheque,132333.52,0.0,Paid
PAY00240,INV00240,2023-07-28,UPI,231950.59,0.0,Paid
PAY00241,INV00241,2023-08-09,Debit Card,277815.01,0.0,Paid
PAY00242,INV00242,,UPI,0.0,327365.16,Pending
PAY00243,INV00243,2023-08-05,UPI,166283.53,0.0,Paid
PAY00244,INV00244,2023-08-28,Bank Transfer,226243.94,0.0,Paid
PAY00245,INV00245,2023-08-31,Debit Card,279814.99,0.0,Paid
PAY00246,INV00246,2023-07-10,Bank Transfer,291204.41,0.0,Paid
PAY00247,INV00247,2023-06-28,Cheque,15035.91,0.0,Paid
PAY00248,INV00248,2023-08-11,Credit Card,155018.61,0.0,Paid
PAY00249,INV00249,2023-05-26,Debit Card,60119.99,53694.73,Partial
PAY00250,INV00250,2023-08-11,Cheque,172816.71,20486.52,Partial
PAY00251,INV00251,2023-06-30,Bank Transfer,152515.47,0.0,Paid
PAY00252,INV00252,,Credit Card,0.0,210042.36,Pending
PAY00253,INV00253,2023-07-04,Bank Transfer,63125.81,0.0,Paid
PAY00254,INV00254,2023-07-17,Cheque,173687.86,0.0,Paid
PAY00255,INV00255,2023-07-02,UPI,75370.26,0.0,Paid
PAY00256,INV00256,2023-05-19,UPI,125743.99,0.0,Paid
PAY00257,INV00257,2023-07-28,Debit Card,246138.03,0.0,Paid
PAY00258,INV00258,2023-07-03,Bank Transfer,188000.33,72462.78,Partial
PAY00259,INV00259,2023-06-08,Cheque,144401.5,0.0,Paid
PAY00260,INV00260,2023-07-15,UPI,278340.76,0.0,Paid
PAY00261,INV00261,2023-06-11,Credit Card,117569.83,0.0,Paid
PAY00262,INV00262,,Credit Card,0.0,86060.23,Pending
PAY00263,INV00263,2023-06-29,Debit Card,221779.53,0.0,Paid
PAY00264,INV00264,2023-06-02,Debit Card,221810.03,0.0,Paid
PAY00265,INV00265,2023-05-22,Debit Card,162519.04,0.0,Paid
PAY00266,INV00266,2023-08-14,Cheque,65187.33,0.0,Paid
PAY00267,INV00267,2023-08-12,Bank Transfer,116908.91,0.0,Paid
PAY00268,INV00268,2023-07-12,Debit Card,348843.4,0.0,Paid
PAY00269,INV00269,2023-07-06,Bank Transfer,17808.32,0.0,Paid
PAY00270,INV00270,2023-09-02,Cheque,99803.22,0.0,Paid
PAY00271,INV00271,,Debit Card,0.0,114084.47,Pending
PAY00272,INV00272,2023-05-22,UPI,181718.52,0.0,Paid
PAY00273,INV00273,2023-05-25,Debit Card,283976.2,0.0,Paid
PAY00274,INV00274,2023-08-20,UPI,40029.08,0.0,Paid
PAY00275,INV00275,2023-08-04,Bank Transfer,311195.21,0.0,Paid
PAY00276,INV00276,2023-07-17,Debit Card,343148.31,0.0,Paid
PAY00277,INV00277,2023-07-19,Credit Card,238195.27,0.0,Paid
PAY00278,INV00278,2023-07-25,Debit Card,86053.86,0.0,Paid
PAY00279,INV00279,2023-08-12,Cheque,333455.2,0.0,Paid
PAY00280,INV00280,2023-08-26,Debit Card,6509.47,0.0,Paid
PAY00281,INV00281,2023-05-30,UPI,196995.51,0.0,Paid
PAY00282,INV00282,2023-06-24,Cheque,234558.17,60499.77,Partial
PAY00283,INV00283,2023-05-04,Credit Card,231989.47,0.0,Paid
PAY00284,INV00284,2023-06-15,UPI,151114.75,0.0,Paid
PAY00285,INV00285,2023-07-14,Credit Card,11092.12,0.0,Paid
PAY00286,INV00286,2023-08-16,Debit Card,236783.99,0.0,Paid
PAY00287,INV00287,2023-08-10,Bank Transfer,97429.53,0.0,Paid
PAY00288,INV00288,2023-06-15,Credit Card,335920.69,0.0,Paid
PAY00289,INV00289,2023-06-15,Cheque,44617.45,47103.06,Partial
PAY00290,INV00290,2023-06-06,Bank Transfer,48283.24,0.0,Paid
PAY00291,INV00291,2023-08-05,Credit Card,210510.94,0.0,Paid
PAY00292,INV00292,2023-07-05,Cheque,148856.0,0.0,Paid
PAY00293,INV00293,2023-07-08,UPI,7280.89,5974.11,Partial
PAY00294,INV00294,2023-09-01,Credit Card,248673.26,0.0,Paid
PAY00295,INV00295,2023-07-07,Cheque,251186.95,0.0,Paid
PAY00296,INV00296,2023-08-04,Debit Card,129099.16,208940.81,Partial
PAY00297,INV00297,2023-05-07,Cheque,250360.18,57719.53,Partial
PAY00298,INV00298,2023-06-18,Debit Card,220459.87,0.0,Paid
PAY00299,INV00299,2023-06-25,UPI,142299.26,35023.88,Partial
PAY00300,INV00300,2023-06-12,Debit Card,149279.56,113569.69,Partial
PAY00301,INV00301,2023-06-16,UPI,210874.73,0.0,Paid
PAY00302,INV00302,2023-08-14,Credit Card,265596.7,0.0,Paid
PAY00303,INV00303,,Credit Card,0.0,253077.31,Pending
PAY00304,INV00304,2023-05-14,UPI,241117.19,0.0,Paid
PAY00305,INV00305,2023-07-09,UPI,149684.36,0.0,Paid
PAY00306,INV00306,2023-06-04,UPI,241807.31,0.0,Paid
PAY00307,INV00307,,Credit Card,0.0,191220.0,Pending
PAY00308,INV00308,2023-08-19,Debit Card,87713.77,0.0,Paid
PAY00309,INV00309,2023-08-15,Bank Transfer,207608.52,44186.43,Partial
PAY00310,INV00310,2023-08-04,Bank Transfer,295391.76,0.0,Paid
PAY00311,INV00311,2023-06-18,Bank Transfer,163735.27,136153.23,Partial
PAY00312,INV00312,2023-07-11,Debit Card,145344.2,0.0,Paid
PAY00313,INV00313,2023-07-15,Bank Transfer,182285.22,0.0,Paid
PAY00314,INV00314,2023-05-19,UPI,141970.82,32998.34,Partial
PAY00315,INV00315,,UPI,0.0,215521.22,Pending
PAY00316,INV00316,2023-07-31,Credit Card,7471.72,15765.61,Partial
PAY00317,INV00317,2023-06-24,Credit Card,285637.58,0.0,Paid
PAY00318,INV00318,2023-07-17,Bank Transfer,165361.82,129725.38,Partial
PAY00319,INV00319,2023-07-28,Bank Transfer,46045.07,0.0,Paid
PAY00320,INV00320,2023-07-18,Debit Card,135751.98,0.0,Paid
PAY00321,INV00321,2023-05-13,Credit Card,193738.65,0.0,Paid
PAY00322,INV00322,2023-08-20,Cheque,37302.45,0.0,Paid
PAY00323,INV00323,2023-06-27,Credit Card,58501.98,0.0,Paid
PAY00324,INV00324,2023-07-12,UPI,113000.34,0.0,Paid
PAY00325,INV00325,2024-04-25,UPI,294141.08,0.0,Paid
PAY00326,INV00326,,Credit Card,0.0,47206.14,Pending
PAY00327,INV00327,2024-04-27,UPI,230063.6,0.0,Paid
PAY00328,INV00328,2024-02-22,UPI,211394.64,0.0,Paid
PAY00329,INV00329,,Cheque,0.0,139460.78,Pending
PAY00330,INV00330,2024-04-03,Debit Card,59995.45,0.0,Paid
PAY00331,INV00331,,Debit Card,0.0,316086.95,Pending
PAY00332,INV00332,2024-03-14,Debit Card,155685.84,0.0,Paid
PAY00333,INV00333,2024-04-20,Credit Card,75031.89,0.0,Paid
PAY00334,INV00334,,UPI,0.0,246591.03,Pending
PAY00335,INV00335,2024-03-24,Cheque,322226.38,0.0,Paid
PAY00336,INV00336,2024-03-15,Debit Card,271600.84,0.0,Paid
PAY00337,INV00337,2024-03-23,Debit Card,69496.51,0.0,Paid
PAY00338,INV00338,2024-04-16,Cheque,116522.11,0.0,Paid
PAY00339,INV00339,2024-02-23,Credit Card,25974.34,6505.63,Partial
PAY00340,INV00340,2024-05-09,Credit Card,82405.65,0.0,Paid
PAY00341,INV00341,2024-03-12,Debit Card,111350.7,0.0,Paid
PAY00342,INV00342,2024-04-17,Bank Transfer,291391.21,0.0,Paid
PAY00343,INV00343,,Bank Transfer,0.0,210419.37,Pending
PAY00344,INV00344,2024-02-26,Bank Transfer,135725.96,0.0,Paid
PAY00345,INV00345,2024-03-15,Bank Transfer,221390.07,0.0,Paid
PAY00346,INV00346,,Debit Card,0.0,219013.25,Pending
PAY00347,INV00347,2024-03-07,Cheque,6757.53,9911.92,Partial
PAY00348,INV00348,2024-03-13,Debit Card,42561.83,39364.33,Partial
PAY00349,INV00349,2024-03-01,Debit Card,103630.05,124538.47,Partial
PAY00350,INV00350,2024-04-17,UPI,172294.26,170083.09,Partial
PAY00351,INV00351,,Credit Card,0.0,106508.81,Pending
PAY00352,INV00352,2024-04-29,Cheque,146958.47,190590.91,Partial
PAY00353,INV00353,2024-04-06,Bank Transfer,183233.41,0.0,Paid
PAY00354,INV00354,2024-03-31,UPI,11918.65,0.0,Paid
PAY00355,INV00355,2024-02-21,Cheque,271997.79,0.0,Paid
PAY00356,INV00356,2024-03-26,Bank Transfer,243381.19,0.0,Paid
PAY00357,INV00357,2024-03-02,Bank Transfer,89059.32,0.0,Paid
PAY00358,INV00358,2024-02-22,Debit Card,206782.55,0.0,Paid
PAY00359,INV00359,,Credit Card,0.0,313682.94,Pending
PAY00360,INV00360,2024-02-26,Debit Card,149192.77,0.0,Paid
PAY00361,INV00361,2024-04-02,Credit Card,39450.94,0.0,Paid
PAY00362,INV00362,2024-04-02,Debit Card,99730.53,0.0,Paid
PAY00363,INV00363,,Bank Transfer,0.0,95672.22,Pending
PAY00364,INV00364,2024-03-23,Credit Card,118754.26,0.0,Paid
PAY00365,INV00365,2024-04-02,Cheque,34899.68,0.0,Paid
PAY00366,INV00366,2024-03-05,UPI,24448.89,0.0,Paid
PAY00367,INV00367,2024-03-28,Cheque,137336.95,0.0,Paid
PAY00368,INV00368,2024-02-27,Bank Transfer,29082.93,0.0,Paid
PAY00369,INV00369,2024-03-02,UPI,80351.1,0.0,Paid
PAY00370,INV00370,2024-03-15,Debit Card,52416.37,0.0,Paid
PAY00371,INV00371,2024-03-23,Cheque,232026.82,0.0,Paid
PAY00372,INV00372,,Debit Card,0.0,195363.22,Pending
PAY00373,INV00373,2024-03-10,Credit Card,315279.01,0.0,Paid
PAY00374,INV00374,,UPI,0.0,302291.69,Pending
PAY00375,INV00375,2024-11-11,Cheque,101747.56,0.0,Paid
PAY00376,INV00376,,Bank Transfer,0.0,64725.54,Pending
PAY00377,INV00377,2024-11-17,Cheque,121281.18,150563.56,Partial
PAY00378,INV00378,2025-01-15,Credit Card,343648.63,0.0,Paid
PAY00379,INV00379,2024-10-29,Debit Card,231602.79,0.0,Paid
PAY00380,INV00380,2024-12-14,Bank Transfer,201388.23,59077.12,Partial
PAY00381,INV00381,2024-12-19,Credit Card,187610.74,0.0,Paid
PAY00382,INV00382,2024-11-15,Bank Transfer,96428.18,0.0,Paid
