QuoteID,OpportunityID,AccountID,QuoteDate,ExpiryDate,QuoteAmount,DiscountPercent,FinalAmount,Status
QTN00021,OPP00037,ACC02718,2022-09-27,2022-10-27,75407,10,67866.3,Sent
QTN00022,OPP00039,ACC00719,2022-08-28,2022-09-27,150060,5,142557.0,Accepted
QTN00023,OPP00040,ACC01917,2022-10-17,2022-11-16,299076,0,299076.0,Accepted
QTN00024,OPP00043,ACC01695,2022-10-02,2022-11-01,286131,5,271824.45,Sent
QTN00025,OPP00044,ACC00460,2022-09-07,2022-10-07,25057,10,22551.3,Rejected
QTN00026,OPP00045,ACC03909,2022-09-17,2022-10-17,186239,5,176927.05,Accepted
QTN00027,OPP00046,ACC01135,2022-09-07,2022-10-07,287303,0,287303.0,Sent
QTN00028,OPP00047,ACC01604,2022-09-27,2022-10-27,70339,10,63305.1,Accepted
QTN00029,OPP00055,ACC03164,2022-09-02,2022-10-02,119735,5,113748.25,Rejected
QTN00030,OPP00056,ACC00278,2022-09-16,2022-10-16,248557,10,223701.3,Sent
QTN00031,OPP00063,ACC02558,2022-09-22,2022-10-22,222985,15,189537.25,Accepted
QTN00032,OPP00068,ACC00595,2022-09-30,2022-10-30,216978,15,184431.3,Sent
QTN00033,OPP00071,ACC03684,2022-09-25,2022-10-25,226021,5,214719.95,Accepted
QTN00034,OPP00073,ACC03787,2022-09-03,2022-10-03,248811,10,223929.9,Accepted
QTN00035,OPP00076,ACC04555,2022-09-17,2022-10-17,201768,15,171502.8,Sent
QTN00036,OPP00077,ACC03035,2022-09-22,2022-10-22,44844,15,38117.4,Draft
QTN00037,OPP00079,ACC02909,2022-09-20,2022-10-20,199285,0,199285.0,Sent
QTN00038,OPP00080,ACC02975,2022-09-04,2022-10-04,183903,15,156317.55,Accepted
QTN00039,OPP00085,ACC04811,2022-10-10,2022-11-09,130998,15,111348.3,Accepted
QTN00040,OPP00087,ACC04181,2022-09-14,2022-10-14,198472,10,178624.8,Rejected
QTN00041,OPP00088,ACC04991,2022-09-28,2022-10-28,185227,0,185227.0,Accepted
QTN00042,OPP00090,ACC02851,2022-09-19,2022-10-19,147038,10,132334.2,Accepted
QTN00043,OPP00091,ACC00674,2022-09-11,2022-10-11,280060,0,280060.0,Sent
QTN00044,OPP00093,ACC02253,2022-09-22,2022-10-22,33106,15,28140.1,Draft
QTN00045,OPP00095,ACC01912,2022-09-23,2022-10-23,165107,10,148596.3,Rejected
QTN00046,OPP00096,ACC02922,2022-10-02,2022-11-01,57026,5,54174.7,Accepted
QTN00047,OPP00099,ACC01086,2022-08-27,2022-09-26,143702,10,129331.8,Accepted
QTN00048,OPP00101,ACC00297,2022-09-22,2022-10-22,156315,5,148499.25,Sent
QTN00049,OPP00102,ACC02302,2022-09-23,2022-10-23,136264,5,129450.8,Accepted
QTN00050,OPP00103,ACC03472,2022-09-22,2022-10-22,96850,0,96850.0,Accepted
QTN00051,OPP00106,ACC04233,2022-09-27,2022-10-27,111723,0,111723.0,Sent
QTN00052,OPP00107,ACC00451,2022-09-17,2022-10-17,156010,10,140409.0,Sent
QTN00053,OPP00110,ACC00770,2022-09-02,2022-10-02,85725,0,85725.0,Draft
QTN00054,OPP00111,ACC04999,2022-09-29,2022-10-29,271795,0,271795.0,Rejected
QTN00055,OPP00112,ACC03133,2022-09-28,2022-10-28,6344,5,6026.8,Sent
QTN00056,OPP00113,ACC00210,2022-09-13,2022-10-13,261712,5,248626.4,Sent
QTN00057,OPP00120,ACC04701,2022-09-09,2022-10-09,57694,15,49039.9,Rejected
QTN00058,OPP00122,ACC02709,2022-09-22,2022-10-22,80034,5,76032.3,Accepted
QTN00059,OPP00124,ACC04872,2022-09-24,2022-10-24,136123,10,122510.7,Accepted
QTN00060,OPP00130,ACC00458,2022-09-30,2022-10-30,61804,15,52533.4,Sent
QTN00061,OPP00131,ACC02541,2022-09-15,2022-10-15,299339,0,299339.0,Sent
QTN00062,OPP00134,ACC03188,2022-09-24,2022-10-24,55956,5,53158.2,Accepted
QTN00063,OPP00135,ACC04918,2022-09-18,2022-10-18,208762,0,208762.0,Accepted
QTN00064,OPP00138,ACC04912,2022-09-24,2022-10-24,36745,5,34907.75,Draft
QTN00065,OPP00140,ACC00084,2022-09-08,2022-10-08,96486,10,86837.4,Draft
QTN00066,OPP00141,ACC03239,2022-09-07,2022-10-07,18516,10,16664.4,Accepted
QTN00067,OPP00142,ACC03528,2022-10-03,2022-11-02,241981,5,229881.95,Accepted
QTN00068,OPP00144,ACC01987,2022-10-03,2022-11-02,262042,15,222735.7,Sent
QTN00069,OPP00145,ACC01514,2022-10-07,2022-11-06,204703,15,173997.55,Sent
QTN00070,OPP00147,ACC01915,2022-09-08,2022-10-08,299433,15,254518.05,Sent
QTN00071,OPP00148,ACC03955,2022-10-04,2022-11-03,296891,15,252357.35,Accepted
QTN00072,OPP00150,ACC00693,2022-09-01,2022-10-01,215126,0,215126.0,Draft
QTN00073,OPP00153,ACC01050,2024-07-08,2024-08-07,222151,10,199935.9,Accepted
QTN00074,OPP00154,ACC03549,2024-06-19,2024-07-19,260135,5,247128.25,Sent
QTN00075,OPP00155,ACC04575,2024-06-30,2024-07-30,28811,15,24489.35,Sent
QTN00076,OPP00157,ACC00262,2024-06-22,2024-07-22,267281,10,240552.9,Accepted
QTN00077,OPP00160,ACC00528,2024-05-31,2024-06-30,64782,0,64782.0,Accepted
QTN00078,OPP00162,ACC04717,2024-06-29,2024-07-29,82432,0,82432.0,Draft
QTN00079,OPP00163,ACC03581,2024-07-03,2024-08-02,240355,0,240355.0,Rejected
QTN00080,OPP00164,ACC02177,2024-07-13,2024-08-12,174454,5,165731.3,Sent
QTN00081,OPP00166,ACC04389,2024-07-06,2024-08-05,247594,15,210454.9,Sent
QTN00082,OPP00167,ACC00826,2024-07-12,2024-08-11,26507,0,26507.0,Sent
QTN00083,OPP00173,ACC02203,2024-07-02,2024-08-01,153974,15,130877.9,Sent
QTN00084,OPP00175,ACC00866,2024-06-13,2024-07-13,49417,15,42004.45,Sent
QTN00085,OPP00176,ACC03758,2024-06-11,2024-07-11,177216,15,150633.6,Sent
QTN00086,OPP00177,ACC01555,2024-06-09,2024-07-09,280981,5,266931.95,Rejected
QTN00087,OPP00178,ACC01535,2024-06-05,2024-07-05,226986,0,226986.0,Accepted
QTN00088,OPP00179,ACC01509,2024-07-06,2024-08-05,281054,0,281054.0,Accepted
QTN00089,OPP00180,ACC04301,2024-05-31,2024-06-30,73707,5,70021.65,Draft
QTN00090,OPP00181,ACC02548,2024-06-15,2024-07-15,91790,0,91790.0,Accepted
QTN00091,OPP00182,ACC04960,2024-06-16,2024-07-16,106720,0,106720.0,Accepted
QTN00092,OPP00183,ACC01721,2024-06-16,2024-07-16,235999,15,200599.15,Sent
QTN00093,OPP00186,ACC03294,2024-06-07,2024-07-07,136073,5,129269.35,Accepted
QTN00094,OPP00188,ACC00537,2024-06-18,2024-07-18,128615,0,128615.0,Accepted
QTN00095,OPP00190,ACC04861,2024-06-08,2024-07-08,281704,10,253533.6,Rejected
QTN00096,OPP00191,ACC02753,2024-06-26,2024-07-26,275205,10,247684.5,Sent
QTN00097,OPP00193,ACC02315,2024-05-27,2024-06-26,40483,5,38458.85,Accepted
QTN00098,OPP00194,ACC04463,2024-06-28,2024-07-28,271140,15,230469.0,Sent
QTN00099,OPP00196,ACC02732,2024-06-15,2024-07-15,192220,0,192220.0,Draft
QTN00100,OPP00199,ACC04395,2024-06-21,2024-07-21,75701,0,75701.0,Draft
QTN00101,OPP00201,ACC04059,2024-05-31,2024-06-30,189311,10,170379.9,Sent
QTN00102,OPP00202,ACC01374,2024-05-27,2024-06-26,217971,0,217971.0,Accepted
QTN00103,OPP00203,ACC01026,2024-06-15,2024-07-15,88879,10,79991.1,Sent
QTN00104,OPP00206,ACC04018,2024-06-15,2024-07-15,293356,10,264020.4,Accepted
QTN00105,OPP00207,ACC02578,2024-06-11,2024-07-11,194213,0,194213.0,Accepted
QTN00106,OPP00208,ACC03530,2024-07-10,2024-08-09,250055,10,225049.5,Rejected
QTN00107,OPP00209,ACC01913,2024-06-19,2024-07-19,34052,5,32349.4,Sent
QTN00108,OPP00210,ACC03867,2024-06-11,2024-07-11,164448,5,156225.6,Sent
QTN00109,OPP00211,ACC02962,2024-06-26,2024-07-26,46345,5,44027.75,Accepted
QTN00110,OPP00214,ACC00114,2024-05-27,2024-06-26,291039,10,261935.1,Accepted
QTN00111,OPP00217,ACC04038,2024-06-20,2024-07-20,186073,0,186073.0,Draft
QTN00112,OPP00218,ACC00905,2024-06-30,2024-07-30,172308,10,155077.2,Draft
QTN00113,OPP00221,ACC00469,2024-06-14,2024-07-14,249745,5,237257.75,Accepted
QTN00114,OPP00222,ACC00953,2024-07-12,2024-08-11,251723,5,239136.85,Accepted
QTN00115,OPP00223,ACC04291,2024-06-23,2024-07-23,61359,15,52155.15,Accepted
QTN00116,OPP00225,ACC00942,2024-06-19,2024-07-19,43551,0,43551.0,Rejected
QTN00117,OPP00226,ACC03241,2024-07-01,2024-07-31,293283,5,278618.85,Accepted
QTN00118,OPP00230,ACC03115,2024-06-04,2024-07-04,253378,10,228040.2,Accepted
QTN00119,OPP00231,ACC04967,2024-06-25,2024-07-25,162176,15,137849.6,Sent
QTN00120,OPP00233,ACC02911,2024-07-04,2024-08-03,31924,10,28731.6,Accepted
QTN00121,OPP00240,ACC01020,2024-11-21,2024-12-21,291404,0,291404.0,Accepted
QTN00122,OPP00242,ACC02135,2024-12-24,2025-01-23,134247,5,127534.65,Accepted
QTN00123,OPP00243,ACC01322,2024-09-26,2024-10-26,122895,15,104460.75,Rejected
QTN00124,OPP00247,ACC01009,2024-09-15,2024-10-15,32520,5,30894.0,Rejected
QTN00125,OPP00248,ACC02835,2024-08-14,2024-09-13,77072,5,73218.4,Rejected
QTN00126,OPP00249,ACC03216,2024-08-02,2024-09-01,218336,5,207419.2,Accepted
QTN00127,OPP00251,ACC04439,2024-08-06,2024-09-05,126750,5,120412.5,Accepted
QTN00128,OPP00255,ACC03250,2024-07-31,2024-08-30,159677,15,135725.45,Accepted
QTN00129,OPP00257,ACC04627,2024-09-09,2024-10-09,217593,5,206713.35,Sent
QTN00130,OPP00258,ACC01997,2024-11-06,2024-12-06,50475,0,50475.0,Sent
QTN00131,OPP00259,ACC03400,2024-10-28,2024-11-27,101878,15,86596.3,Sent
QTN00132,OPP00260,ACC02193,2024-08-29,2024-09-28,135048,15,114790.8,Sent
QTN00133,OPP00262,ACC01592,2024-10-12,2024-11-11,10995,5,10445.25,Sent
QTN00134,OPP00263,ACC01488,2024-09-30,2024-10-30,128890,5,122445.5,Sent
QTN00135,OPP00264,ACC00947,2024-08-07,2024-09-06,249001,0,249001.0,Rejected
QTN00136,OPP00265,ACC03451,2025-01-26,2025-02-25,66559,10,59903.1,Accepted
QTN00137,OPP00266,ACC02899,2024-11-10,2024-12-10,200887,10,180798.3,Rejected
QTN00138,OPP00267,ACC04393,2024-11-05,2024-12-05,251849,10,226664.1,Sent
QTN00139,OPP00270,ACC04434,2024-08-03,2024-09-02,37379,0,37379.0,Sent
QTN00140,OPP00271,ACC00530,2024-12-17,2025-01-16,286364,10,257727.6,Accepted
QTN00141,OPP00273,ACC02063,2024-12-17,2025-01-16,166569,15,141583.65,Accepted
QTN00142,OPP00274,ACC01271,2024-09-11,2024-10-11,28744,0,28744.0,Sent
QTN00143,OPP00277,ACC03316,2024-07-25,2024-08-24,161428,5,153356.6,Sent
QTN00144,OPP00280,ACC03452,2024-08-06,2024-09-05,13202,15,11221.7,Draft
QTN00145,OPP00281,ACC04703,2024-10-05,2024-11-04,215902,5,205106.9,Sent
QTN00146,OPP00282,ACC02090,2024-09-15,2024-10-15,172197,10,154977.3,Accepted
QTN00147,OPP00283,ACC04524,2024-12-25,2025-01-24,173120,0,173120.0,Accepted
QTN00148,OPP00284,ACC02505,2024-08-06,2024-09-05,96820,10,87138.0,Accepted
QTN00149,OPP00285,ACC01848,2025-01-04,2025-02-03,296425,15,251961.25,Accepted
QTN00150,OPP00288,ACC01864,2024-10-25,2024-11-24,240817,5,228776.15,Sent
QTN00151,OPP00289,ACC02579,2024-09-13,2024-10-13,179569,15,152633.65,Accepted
QTN00152,OPP00290,ACC02465,2024-08-16,2024-09-15,256092,10,230482.8,Accepted
QTN00153,OPP00291,ACC02636,2024-10-04,2024-11-03,112223,0,112223.0,Sent
QTN00154,OPP00293,ACC01238,2024-08-21,2024-09-20,172894,15,146959.9,Accepted
QTN00155,OPP00294,ACC01340,2024-08-02,2024-09-01,121011,10,108909.9,Accepted
QTN00156,OPP00295,ACC03742,2024-12-15,2025-01-14,223931,5,212734.45,Accepted
QTN00157,OPP00297,ACC04910,2024-09-29,2024-10-29,261178,5,248119.1,Accepted
QTN00158,OPP00298,ACC04253,2025-01-03,2025-02-02,246607,10,221946.3,Draft
QTN00159,OPP00299,ACC01256,2024-09-14,2024-10-14,189641,5,180158.95,Accepted
QTN00160,OPP00300,ACC00566,2024-08-16,2024-09-15,9792,5,9302.4,Sent
QTN00161,OPP00301,ACC02906,2024-09-22,2024-10-22,200664,5,190630.8,Rejected
QTN00162,OPP00302,ACC02543,2024-08-14,2024-09-13,258338,0,258338.0,Accepted
QTN00163,OPP00303,ACC00023,2025-01-08,2025-02-07,8466,5,8042.7,Accepted
QTN00164,OPP00308,ACC02893,2025-01-01,2025-01-31,21611,15,18369.35,Sent
QTN00165,OPP00309,ACC02907,2024-12-04,2025-01-03,9954,0,9954.0,Accepted
QTN00166,OPP00310,ACC01803,2024-11-06,2024-12-06,178681,0,178681.0,Accepted
QTN00167,OPP00312,ACC03997,2025-01-15,2025-02-14,267559,5,254181.05,Accepted
QTN00168,OPP00313,ACC02401,2024-11-11,2024-12-11,191547,15,162814.95,Draft
QTN00169,OPP00316,ACC01004,2024-09-21,2024-10-21,48011,0,48011.0,Accepted
QTN00170,OPP00317,ACC04716,2024-10-25,2024-11-24,58598,15,49808.3,Accepted
QTN00171,OPP00318,ACC00712,2024-11-10,2024-12-10,273666,10,246299.4,Rejected
QTN00172,OPP00324,ACC02664,2024-10-17,2024-11-16,110304,15,93758.4,Accepted
QTN00173,OPP00325,ACC01349,2024-09-15,2024-10-15,293410,15,249398.5,Accepted
QTN00174,OPP00326,ACC02607,2024-07-30,2024-08-29,114916,15,97678.6,Accepted
QTN00175,OPP00328,ACC02289,2024-11-01,2024-12-01,286493,5,272168.35,Accepted
QTN00176,OPP00330,ACC01230,2024-09-24,2024-10-24,191126,15,162457.1,Accepted
QTN00177,OPP00331,ACC03432,2024-09-02,2024-10-02,28224,15,23990.4,Draft
QTN00178,OPP00334,ACC01509,2025-01-14,2025-02-13,267388,5,254018.6,Sent
QTN00179,OPP00337,ACC04926,2024-09-29,2024-10-29,294359,0,294359.0,Sent
QTN00180,OPP00338,ACC03475,2024-11-12,2024-12-12,208861,15,177531.85,Accepted
QTN00181,OPP00339,ACC01224,2024-07-25,2024-08-24,112890,5,107245.5,Draft
QTN00182,OPP00340,ACC00804,2024-09-28,2024-10-28,37801,10,34020.9,Accepted
QTN00183,OPP00341,ACC04513,2024-12-06,2025-01-05,208758,0,208758.0,Sent
QTN00184,OPP00342,ACC02495,2024-12-30,2025-01-29,75227,15,63942.95,Rejected
QTN00185,OPP00345,ACC04267,2024-11-02,2024-12-02,264506,0,264506.0,Accepted
QTN00186,OPP00347,ACC04840,2024-11-17,2024-12-17,48343,15,41091.55,Accepted
QTN00187,OPP00348,ACC03578,2024-12-08,2025-01-07,264686,10,238217.4,Accepted
QTN00188,OPP00349,ACC04961,2024-12-09,2025-01-08,64877,15,55145.45,Accepted
QTN00189,OPP00354,ACC02194,2024-10-11,2024-11-10,274701,5,260965.95,Accepted
QTN00190,OPP00355,ACC04469,2024-08-05,2024-09-04,53808,15,45736.8,Accepted
QTN00191,OPP00356,ACC03231,2024-10-26,2024-11-25,150870,10,135783.0,Accepted
QTN00192,OPP00357,ACC00493,2024-10-19,2024-11-18,53833,15,45758.05,Accepted
QTN00193,OPP00358,ACC00086,2024-11-14,2024-12-14,192811,15,163889.35,Rejected
QTN00194,OPP00359,ACC03479,2024-08-10,2024-09-09,119205,0,119205.0,Rejected
QTN00195,OPP00364,ACC00602,2024-11-18,2024-12-18,255452,0,255452.0,Draft
QTN00196,OPP00365,ACC04197,2025-01-08,2025-02-07,40867,5,38823.65,Accepted
QTN00197,OPP00366,ACC03138,2024-12-08,2025-01-07,91044,0,91044.0,Sent
QTN00198,OPP00367,ACC04392,2024-12-22,2025-01-21,220854,5,209811.3,Accepted
QTN00199,OPP00368,ACC00196,2025-01-01,2025-01-31,118898,15,101063.3,Sent
QTN00200,OPP00370,ACC04846,2024-10-06,2024-11-05,154380,15,131223.0,Sent
QTN00201,OPP00372,ACC03335,2024-09-01,2024-10-01,159949,15,135956.65,Draft
QTN00202,OPP00373,ACC00536,2024-11-22,2024-12-22,42230,0,42230.0,Rejected
QTN00203,OPP00374,ACC03872,2024-10-16,2024-11-15,95581,5,90801.95,Accepted
QTN00204,OPP00375,ACC02586,2024-11-19,2024-12-19,13750,0,13750.0,Accepted
QTN00205,OPP00376,ACC00845,2024-08-05,2024-09-04,286886,5,272541.7,Accepted
QTN00206,OPP00377,ACC03320,2024-08-30,2024-09-29,209855,5,199362.25,Sent
QTN00207,OPP00378,ACC01348,2024-12-22,2025-01-21,39663,0,39663.0,Accepted
QTN00208,OPP00379,ACC04863,2024-10-08,2024-11-07,130114,15,110596.9,Accepted
QTN00209,OPP00380,ACC04022,2024-10-09,2024-11-08,97089,10,87380.1,Sent
QTN00210,OPP00381,ACC03295,2024-10-15,2024-11-14,140920,0,140920.0,Accepted
QTN00211,OPP00386,ACC02418,2024-09-24,2024-10-24,6346,10,5711.4,Sent
QTN00212,OPP00387,ACC00657,2024-09-16,2024-10-16,133517,10,120165.3,Accepted
QTN00213,OPP00391,ACC04080,2024-08-18,2024-09-17,269989,15,229490.65,Rejected
QTN00214,OPP00393,ACC04849,2024-08-11,2024-09-10,37654,0,37654.0,Accepted
QTN00215,OPP00395,ACC00007,2024-11-12,2024-12-12,176049,5,167246.55,Sent
QTN00216,OPP00398,ACC00913,2024-12-24,2025-01-23,135994,10,122394.6,Accepted
QTN00217,OPP00399,ACC02050,2024-08-22,2024-09-21,78291,0,78291.0,Accepted
QTN00218,OPP00401,ACC01431,2024-12-24,2025-01-23,44314,0,44314.0,Sent
QTN00219,OPP00402,ACC04039,2024-09-06,2024-10-06,212093,10,190883.7,Draft
QTN00220,OPP00405,ACC02757,2024-09-08,2024-10-08,280678,10,252610.2,Draft
QTN00221,OPP00406,ACC01301,2024-09-20,2024-10-20,290032,15,246527.2,Sent
QTN00222,OPP00407,ACC04416,2024-11-30,2024-12-30,259111,15,220244.35,Accepted
QTN00223,OPP00412,ACC01509,2024-12-14,2025-01-13,103688,5,98503.6,Accepted
QTN00224,OPP00414,ACC04762,2024-09-21,2024-10-21,15448,10,13903.2,Accepted
QTN00225,OPP00418,ACC04596,2024-12-30,2025-01-29,171347,15,145644.95,Accepted
QTN00226,OPP00420,ACC03942,2024-09-15,2024-10-15,96934,10,87240.6,Sent
QTN00227,OPP00421,ACC00430,2025-01-20,2025-02-19,21977,0,21977.0,Sent
QTN00228,OPP00423,ACC02981,2024-12-27,2025-01-26,265143,5,251885.85,Accepted
QTN00229,OPP00424,ACC00370,2024-09-22,2024-10-22,188753,15,160440.05,Sent
QTN00230,OPP00426,ACC00251,2024-11-29,2024-12-29,123270,10,110943.0,Sent
QTN00231,OPP00429,ACC03212,2024-12-15,2025-01-14,262398,10,236158.2,Accepted
QTN00232,OPP00430,ACC00723,2024-09-10,2024-10-10,47958,10,43162.2,Accepted
QTN00233,OPP00433,ACC02435,2024-11-10,2024-12-10,123616,10,111254.4,Accepted
QTN00234,OPP00436,ACC02939,2024-11-15,2024-12-15,124282,5,118067.9,Draft
QTN00235,OPP00437,ACC02900,2024-12-09,2025-01-08,82305,15,69959.25,Accepted
QTN00236,OPP00440,ACC01343,2024-09-03,2024-10-03,57535,5,54658.25,Accepted
QTN00237,OPP00441,ACC04650,2024-08-25,2024-09-24,57948,15,49255.8,Accepted
QTN00238,OPP00445,ACC02188,2024-07-31,2024-08-30,145815,0,145815.0,Sent
QTN00239,OPP00448,ACC03466,2024-11-18,2024-12-18,201036,5,190984.2,Sent
QTN00240,OPP00449,ACC03573,2024-08-15,2024-09-14,88347,10,79512.3,Accepted
QTN00241,OPP00450,ACC03818,2024-11-29,2024-12-29,98104,10,88293.6,Accepted
QTN00242,OPP00454,ACC03568,2024-08-05,2024-09-04,9665,10,8698.5,Sent
QTN00243,OPP00455,ACC01257,2024-10-14,2024-11-13,213222,10,191899.8,Sent
QTN00244,OPP00456,ACC01973,2024-10-07,2024-11-06,257569,0,257569.0,Accepted
QTN00245,OPP00457,ACC01696,2024-08-01,2024-08-31,172554,0,172554.0,Accepted
QTN00246,OPP00458,ACC04495,2025-01-15,2025-02-14,141014,5,133963.3,Sent
QTN00247,OPP00460,ACC02355,2024-10-21,2024-11-20,121582,15,103344.7,Sent
QTN00248,OPP00462,ACC03891,2024-08-30,2024-09-29,99967,10,89970.3,Rejected
QTN00249,OPP00465,ACC02281,2024-09-16,2024-10-16,260632,5,247600.4,Sent
QTN00250,OPP00469,ACC04881,2024-12-15,2025-01-14,232365,5,220746.75,Sent
QTN00251,OPP00471,ACC00627,2024-12-28,2025-01-27,69572,5,66093.4,Sent
QTN00252,OPP00473,ACC04491,2024-10-28,2024-11-27,285354,10,256818.6,Accepted
QTN00253,OPP00474,ACC02244,2024-07-26,2024-08-25,223510,15,189983.5,Sent
QTN00254,OPP00479,ACC00388,2024-07-26,2024-08-25,113891,10,102501.9,Accepted
QTN00255,OPP00480,ACC01463,2025-01-16,2025-02-15,127948,10,115153.2,Sent
QTN00256,OPP00481,ACC02330,2024-08-13,2024-09-12,264052,10,237646.8,Rejected
QTN00257,OPP00482,ACC04500,2024-08-05,2024-09-04,58105,0,58105.0,Accepted
QTN00258,OPP00485,ACC01947,2025-01-10,2025-02-09,177312,15,150715.2,Draft
QTN00259,OPP00488,ACC00497,2024-12-25,2025-01-24,100032,0,100032.0,Sent
QTN00260,OPP00489,ACC00811,2024-11-19,2024-12-19,220631,10,198567.9,Draft
QTN00261,OPP00491,ACC04996,2025-01-10,2025-02-09,54934,0,54934.0,Accepted
QTN00262,OPP00493,ACC01001,2024-09-05,2024-10-05,33608,5,31927.6,Accepted
QTN00263,OPP00494,ACC03313,2024-07-24,2024-08-23,270063,15,229553.55,Rejected
QTN00264,OPP00495,ACC01380,2024-11-26,2024-12-26,91719,15,77961.15,Sent
QTN00265,OPP00496,ACC00306,2024-08-15,2024-09-14,173104,0,173104.0,Accepted
QTN00266,OPP00497,ACC04203,2024-11-21,2024-12-21,51147,0,51147.0,Rejected
QTN00267,OPP00498,ACC04333,2024-11-29,2024-12-29,14316,5,13600.2,Sent
QTN00268,OPP00499,ACC01973,2024-12-06,2025-01-05,52655,5,50022.25,Sent
QTN00269,OPP00501,ACC03950,2024-12-04,2025-01-03,244184,0,244184.0,Sent
QTN00270,OPP00502,ACC04871,2025-01-05,2025-02-04,195470,15,166149.5,Accepted
QTN00271,OPP00503,ACC00845,2024-12-04,2025-01-03,60743,10,54668.7,Draft
QTN00272,OPP00504,ACC03297,2024-08-08,2024-09-07,69602,10,62641.8,Accepted
QTN00273,OPP00506,ACC01286,2024-08-10,2024-09-09,258195,0,258195.0,Accepted
QTN00274,OPP00510,ACC03572,2024-12-05,2025-01-04,110323,5,104806.85,Accepted
QTN00275,OPP00512,ACC00952,2025-01-24,2025-02-23,65505,5,62229.75,Accepted
QTN00276,OPP00513,ACC02256,2024-10-27,2024-11-26,223878,5,212684.1,Draft
QTN00277,OPP00515,ACC03725,2024-09-28,2024-10-28,81770,10,73593.0,Accepted
QTN00278,OPP00518,ACC00699,2024-09-20,2024-10-20,299267,10,269340.3,Accepted
QTN00279,OPP00521,ACC03038,2024-09-17,2024-10-17,197802,10,178021.8,Accepted
QTN00280,OPP00523,ACC02551,2024-12-28,2025-01-27,162891,15,138457.35,Accepted
QTN00281,OPP00524,ACC00363,2024-11-20,2024-12-20,192739,0,192739.0,Accepted
QTN00282,OPP00526,ACC02834,2025-01-07,2025-02-06,299301,10,269370.9,Accepted
QTN00283,OPP00528,ACC03134,2024-11-21,2024-12-21,260225,0,260225.0,Sent
QTN00284,OPP00529,ACC00231,2024-10-15,2024-11-14,55308,0,55308.0,Rejected
QTN00285,OPP00534,ACC00651,2025-01-02,2025-02-01,38154,10,34338.6,Accepted
QTN00286,OPP00536,ACC00667,2024-09-29,2024-10-29,204970,5,194721.5,Accepted
QTN00287,OPP00537,ACC04502,2024-11-05,2024-12-05,253506,15,215480.1,Rejected
QTN00288,OPP00542,ACC03902,2024-12-19,2025-01-18,286622,15,243628.7,Accepted
QTN00289,OPP00544,ACC01934,2024-12-17,2025-01-16,293182,0,293182.0,Accepted
QTN00290,OPP00549,ACC03330,2024-10-10,2024-11-09,62059,10,55853.1,Sent
QTN00291,OPP00550,ACC02299,2024-08-30,2024-09-29,47977,5,45578.15,Sent
QTN00292,OPP00553,ACC01861,2025-01-02,2025-02-01,196794,15,167274.9,Sent
QTN00293,OPP00554,ACC01861,2024-08-29,2024-09-28,272602,0,272602.0,Accepted
QTN00294,OPP00558,ACC01600,2024-09-20,2024-10-20,96147,10,86532.3,Sent
QTN00295,OPP00560,ACC03082,2024-12-19,2025-01-18,45809,15,38937.65,Accepted
QTN00296,OPP00561,ACC00417,2024-11-29,2024-12-29,8459,0,8459.0,Accepted
QTN00297,OPP00563,ACC01874,2024-08-29,2024-09-28,256036,15,217630.6,Accepted
